Date,Region,Place,Trigger,Weak Layer,Depth_inches,Width_inches,Vertical_inches,Aspect,Elevation_feet
2/14/2013,Skyline,Wedding Ring Ridge,Natural,New Snow,10.0,2400.0,1800.0,Northeast,9700.0
2/15/2013,Uintas,Currant Creek Peak,Snowmobiler,New Snow/Old Snow Interface,18.0,1800.0,3600.0,Southeast,10500.0
2/16/2013,Skyline,Ephraim Canyon,Snowmobiler,Facets,24.0,840.0,480.0,Northeast,10100.0
2/17/2013,Salt Lake,Little Water Peak,Unknown,Facets,5.0,2400.0,8400.0,Northeast,9600.0
2/13/2013,Uintas,Four Eagle Bowl,Natural,Facets,36.0,3000.0,3600.0,Southeast,10500.0
2/17/2013,Skyline,Seeley Canyon,Natural,Facets,24.0,1800.0,3600.0,East,10000.0
2/16/2013,Salt Lake,Cardiff Fork,Natural,Graupel,16.0,480.0,3000.0,Northwest,8500.0
2/19/2013,Salt Lake,Red Pine Gulch,Skier,Unknown,18.0,840.0,1800.0,Northwest,10000.0
2/21/2013,Uintas,Duke Bowl,Skier,Facets,16.0,1800.0,3600.0,Northwest,10200.0
2/24/2013,Salt Lake,Canyons side country,Skier,New Snow/Old Snow Interface,8.0,2400.0,2400.0,North,8600.0
2/24/2013,Salt Lake,Back Bowls,Skier,Facets,14.0,840.0,840.0,Northwest,9800.0
2/23/2013,Provo,Dry Fork,Natural,New Snow,16.0,480.0,2400.0,Southeast,10400.0
2/25/2013,Salt Lake,Hellgate,Skier,New Snow/Old Snow Interface,12.0,600.0,1800.0,Southeast,10000.0
2/24/2013,Salt Lake,Toledo Bowl,Snowboarder,New Snow/Old Snow Interface,10.0,1800.0,3600.0,South,10200.0
2/24/2013,Salt Lake,Back Bowls,Skier,Facets,14.0,1500.0,1800.0,Northwest,9800.0
2/28/2013,Salt Lake,Wyatt Couloir,Natural,Facets,16.0,1200.0,4800.0,Northeast,10600.0
2/26/2013,Salt Lake,Shale Shot,Skier,Facets,12.0,480.0,1200.0,North,8900.0
3/1/2013,Skyline,White Mountain,Snowmobiler,Facets,24.0,4200.0,3000.0,Northeast,10400.0
3/2/2013,Salt Lake,Main Porter,Snowboarder,Facets,24.0,360.0,3600.0,Northeast,9400.0
3/2/2013,Provo,Snowslide Jr,Natural,Facets,8.0,360.0,9600.0,Northwest,6000.0
3/2/2013,Provo,Big Provo Cirque,Natural,Wet grains,8.0,600.0,15000.0,Southeast,10100.0
3/3/2013,Salt Lake,Cardiff Fork,Skier,Density Change,8.0,240.0,2100.0,Northwest,9800.0
3/3/2013,Provo,Lost Creek,Natural,New Snow/Old Snow Interface,24.0,1800.0,18000.0,Southeast,10000.0
3/3/2013,Provo,Lost Creek,Natural,Unknown,10.0,360.0,18000.0,Southeast,10400.0
3/3/2013,Provo,North Fork Provo R.,Natural,Facets,10.0,300.0,6000.0,Northeast,6000.0
3/4/2013,Salt Lake,Jaws,Skier,New Snow/Old Snow Interface,8.0,600.0,7200.0,North,10200.0
3/4/2013,Provo,Roberts Horn,Natural,Density Change,12.0,1200.0,18000.0,Southeast,10100.0
3/4/2013,Salt Lake,Dutch Draw,Unknown,Unknown,8.0,480.0,3000.0,East,10000.0
3/5/2013,Salt Lake,Superior,Skier,New Snow/Old Snow Interface,10.0,1200.0,6000.0,North,10800.0
3/3/2013,Logan,Lower Providence Canyon,Natural,Ground Interface,16.0,1500.0,15681.295531270514,North,19406.03986756696
3/4/2013,Salt Lake,Summit Park,Skier,Facets,30.0,2100.0,4200.0,Northwest,7300.0
3/9/2013,Salt Lake,Little Pine,Skier,Density Change,5.0,480.0,4800.0,South,9800.0
3/10/2013,Salt Lake,Superior,Skier,Density Change,4.0,960.0,10800.0,South,10700.0
3/10/2013,Salt Lake,The Fang,Skier,New Snow,6.0,120.0,4200.0,East,10100.0
3/10/2013,Salt Lake,West Willow,Unknown,New Snow/Old Snow Interface,15.0,1200.0,1800.0,East,9500.0
3/11/2013,Salt Lake,The Fang,Skier,New Snow/Old Snow Interface,6.0,240.0,3000.0,North,10000.0
3/10/2013,Moab,Geyser Pass,Natural,New Snow,36.0,1200.0,9600.0,Southwest,11800.0
3/12/2013,Logan,Providence Quarry,Snowmobiler,Facets,12.0,240.0,1500.0,West,6500.0
3/13/2013,Provo,Slide Canyon,Skier,Wet grains,6.0,480.0,21000.0,Southeast,10500.0
3/13/2013,Logan,East Banks,Natural,Ground Interface,18.0,2400.0,8400.0,West,7600.0
3/15/2013,Salt Lake,West Monitor,Natural,Wet grains,36.0,2100.0,8400.0,East,9900.0
3/14/2013,Logan,Logan Canyon,Natural,Unknown,24.0,1200.0,9600.0,West,7600.0
3/18/2013,Uintas,Moffit Peak SE Face,Skier,Facets,30.0,600.0,12000.0,Northeast,10800.0
3/15/2013,Uintas,Duchesne Ridge,Natural,Depth Hoar,36.0,960.0,2400.0,Northeast,9800.0
3/20/2013,Salt Lake,Upper Days,Skier,New Snow,8.0,1800.0,4800.0,North,10100.0
3/21/2013,Salt Lake,Pioneer Peak,Skier,Density Change,10.0,600.0,4200.0,Northeast,10200.0
3/21/2013,Logan,White Rock Hollow,Skier,New Snow/Old Snow Interface,12.0,840.0,2400.0,East,9000.0
3/21/2013,Salt Lake,Mill B South,Natural,Graupel,10.0,300.0,1200.0,Northwest,10500.0
3/23/2013,Provo,Ant Knolls,Snow Bike,New Snow/Old Snow Interface,4.0,600.0,3600.0,Southeast,9500.0
3/23/2013,Salt Lake,Banana Days,Skier,New Snow,12.0,300.0,9600.0,Northeast,10100.0
3/23/2013,Salt Lake,Little Superior,Skier,New Snow,9.0,720.0,4800.0,Northeast,10100.0
3/21/2013,Salt Lake,Hypodermic Needle,Natural,New Snow/Old Snow Interface,20.0,720.0,18000.0,Northeast,10600.0
3/23/2013,Logan,Tony Grove Lake,Snowboarder,New Snow/Old Snow Interface,16.0,600.0,1200.0,Northeast,9100.0
3/23/2013,Salt Lake,Oingo Boingo,Skier,New Snow,6.0,600.0,7200.0,Northeast,10200.0
3/23/2013,Salt Lake,Catchers Mit,Skier,Facets,20.0,720.0,2400.0,Northeast,10200.0
3/23/2013,Salt Lake,Meadows,Skier,New Snow/Old Snow Interface,10.0,960.0,2400.0,East,8800.0
3/24/2013,Salt Lake,Santiago,Skier,New Snow,15.0,1200.0,8400.0,Northeast,9600.0
3/24/2013,Provo,Snake Creek,Skier,New Snow/Old Snow Interface,15.0,840.0,1800.0,Southeast,9100.0
3/23/2013,Salt Lake,Flanigans,Snowboarder,New Snow/Old Snow Interface,12.0,360.0,3000.0,North,9800.0
3/24/2013,Salt Lake,Dromedary Peak,Skier,New Snow/Old Snow Interface,21.0,1200.0,4800.0,North,9500.0
3/25/2013,Salt Lake,Superior,Skier,New Snow/Old Snow Interface,18.0,720.0,21000.0,Southeast,10800.0
3/25/2013,Moab,Gold Basin,Snowmobiler,Facets,48.0,2100.0,2400.0,North,9800.0
4/2/2013,Uintas,Upper Weber Canyon,Natural,New Snow/Old Snow Interface,10.0,600.0,1800.0,Northeast,10200.0
4/3/2013,Uintas,Moffit Basin,Natural,Depth Hoar,48.0,30000.0,4800.0,Northeast,10600.0
4/9/2013,Salt Lake,Claytons,Snowboarder,New Snow/Old Snow Interface,10.0,2100.0,4200.0,Northeast,10500.0
4/9/2013,Salt Lake,Grizzly Gulch,Snowboarder,New Snow/Old Snow Interface,9.0,360.0,480.0,Southeast,9500.0
4/10/2013,Salt Lake,West Monitor,Skier,New Snow/Old Snow Interface,10.0,360.0,7200.0,East,9800.0
4/11/2013,Salt Lake,Kessler Slabs,Skier,New Snow/Old Snow Interface,8.0,540.0,18000.0,East,9900.0
4/11/2013,Uintas,Lofty,Natural,Facets,60.0,12000.0,9600.0,North,11000.0
4/18/2013,Skyline,Seeley Canyon,Natural,New Snow,1.0,2400.0,3600.0,Southeast,10500.0
4/20/2013,Salt Lake,Twin Lakes Pass,Skier,New Snow/Old Snow Interface,10.0,1800.0,3600.0,East,10300.0
4/20/2013,Salt Lake,Rocky Point,Natural,Density Change,14.0,6000.0,4200.0,Northeast,10400.0
4/20/2013,Salt Lake,MacDonalds Draw,Natural,New Snow,6.0,480.0,1800.0,Northeast,9800.0
4/21/2013,Salt Lake,Seagull,Snowboarder,New Snow/Old Snow Interface,12.0,840.0,12000.0,East,10400.0
4/21/2013,Salt Lake,Little Superior,Skier,New Snow/Old Snow Interface,8.0,1080.0,5400.0,South,10000.0
4/21/2013,Salt Lake,Mt Olympus,Natural,Wet grains,6.0,480.0,24000.0,East,11000.0
4/27/2013,Logan,Hells Kitchen,Natural,New Snow,7.0,6000.0,12000.0,East,11200.0
5/5/2013,Salt Lake,Pfeifferhorn,Natural,Wet grains,18.0,1800.0,8400.0,Southwest,11000.0
11/23/2009,Salt Lake,South Monitor,Skier,New Snow,10.0,360.0,3600.0,Northeast,9800.0
11/23/2009,Logan,"Cornice Ridge, Big Cornice",Skier,Unknown,21.0,3600.0,7200.0,North,9400.0
12/6/2009,Logan,Tony Grove Lake,Snowboarder,Unknown,11.0,240.0,1200.0,North,8200.0
12/7/2009,Salt Lake,Park City Ridgeline,Skier,Unknown,12.0,960.0,9600.0,Northeast,9400.0
12/8/2009,Salt Lake,West Bowl,Natural,Facets,6.0,600.0,1800.0,North,9900.0
12/9/2009,Skyline,Skyline,Snowmobiler,Facets,42.0,4200.0,4200.0,East,9500.0
12/12/2009,Salt Lake,Grizzly Gulch,Skier,Facets,13.0,840.0,2400.0,North,9200.0
12/12/2009,Salt Lake,West Bowl,Skier,Facets,13.0,540.0,1500.0,Northeast,10000.0
12/12/2009,Salt Lake,Silver Fork,Skier,Facets,16.0,480.0,600.0,West,9200.0
12/13/2009,Provo,Provo,Natural,Facets,15.0,360.0,6000.0,Northwest,6100.0
12/13/2009,Salt Lake,West Monitor,Natural,Unknown,14.0,1200.0,7200.0,Northeast,9900.0
12/13/2009,Salt Lake,West Willow,Natural,Facets,16.0,720.0,3600.0,Northeast,9400.0
12/13/2009,Logan,South Tony Grove,Snowboarder,Facets,18.0,2100.0,1200.0,Northeast,8200.0
12/14/2009,Provo,Provo,Unknown,Facets,30.0,2400.0,360.0,Northeast,8200.0
12/14/2009,Salt Lake,Pioneer Ridge,Snowboarder,Facets,36.0,1200.0,1800.0,North,9500.0
12/15/2009,Salt Lake,Days Headwall,Skier,Unknown,20.0,1800.0,5400.0,North,10200.0
12/15/2009,Uintas,Hayden Pass,Natural,Facets,30.0,1200.0,1200.0,East,9600.0
12/15/2009,Salt Lake,Mill Creek Canyon,Unknown,Facets,42.0,1200.0,1200.0,Northeast,9400.0
12/16/2009,Salt Lake,Lake Desolation,Skier,Facets,36.0,540.0,4800.0,North,9600.0
12/17/2009,Salt Lake,Meadows,Skier,Facets,24.0,600.0,2400.0,Northeast,9500.0
12/18/2009,Logan,Tony Grove-Blind Hollow Saddle,Skier,Facets,24.0,4800.0,3000.0,North,8800.0
12/18/2009,Skyline,Lake Canyon,Natural,Unknown,24.0,1200.0,4200.0,East,9900.0
12/20/2009,Salt Lake,Days Headwall,Skier,Facets,30.0,600.0,1800.0,North,10100.0
12/23/2009,Skyline,Skyline,Natural,Unknown,24.0,840.0,5400.0,Northeast,9400.0
12/24/2009,Logan,Cornice Ridge,Unknown,Facets,36.0,18000.0,6000.0,Northeast,9500.0
12/26/2009,Provo,Dry Creek,Skier,Facets,24.0,1800.0,6000.0,Southwest,9700.0
12/29/2009,Provo,Chablis,Skier,Surface Hoar,2.0,600.0,1200.0,Southeast,8000.0
12/30/2009,Salt Lake,South Monitor,Skier,Unknown,8.0,2400.0,4800.0,East,9800.0
1/1/2010,Salt Lake,Little Water,Skier,Unknown,18.0,1800.0,4800.0,Northeast,9500.0
1/1/2010,Logan,south of Porcupine Reservoir,Skier,Facets,24.0,3600.0,4435.536386624219,Southeast,21652.58651239946
1/2/2010,Ogden,Bountiful Peak,Skier,Unknown,12.0,1200.0,3600.0,Northeast,8500.0
1/2/2010,Salt Lake,Kessler Peak,Snowboarder,New Snow/Old Snow Interface,20.0,840.0,12000.0,Northeast,9500.0
1/2/2010,Logan,"Warming Hut, (1st step)",Snowmobiler,Facets,18.0,2400.0,1500.0,East,8700.0
1/2/2010,Logan,Hells Canyon,Skier,Facets,10.0,600.0,21000.0,Northeast,8900.0
1/2/2010,Ogden,Toilet Bowl,Snowboarder,Facets,10.0,960.0,2400.0,Northeast,8000.0
1/3/2010,Provo,Miller Hill,Skier,Facets,24.0,960.0,3600.0,Northeast,10000.0
1/3/2010,Provo,Cascade,Skier,Facets,12.0,360.0,3600.0,East,9900.0
1/3/2010,Logan,South Cliffs Cirque,Snowmobiler,Facets,24.0,1800.0,3000.0,North,8800.0
1/5/2010,Salt Lake,Grizzly Gulch,Unknown,Facets,12.0,240.0,360.0,Northwest,9100.0
1/3/2010,Logan,Miller Bowl,Skier,Facets,15.0,3000.0,6000.0,North,8700.0
1/6/2010,Salt Lake,West Desolation Ridge,Snowboarder,Unknown,20.0,2100.0,7200.0,North,9600.0
1/7/2010,Salt Lake,Catchers Mit,Skier,Unknown,24.0,600.0,4800.0,Northeast,10200.0
1/1/2010,Logan,Cliff Cornice,Natural,Facets,24.0,4200.0,2100.0,Northeast,9300.0
1/1/2010,Logan,Castle Rock,Natural,Facets,36.0,9600.0,9600.0,Northeast,9600.0
1/10/2010,Salt Lake,Park City Ridgeline,Skier,Unknown,12.0,480.0,3600.0,South,9300.0
1/7/2010,Logan,Steam Mill #2,Natural,Facets,18.0,9600.0,6000.0,Northeast,9000.0
1/18/2010,Salt Lake,Alexander Basin,Skier,Unknown,18.0,1200.0,7200.0,Northwest,9700.0
1/19/2010,Salt Lake,10420,Skier,Facets,30.0,1200.0,3600.0,North,9300.0
1/19/2010,Salt Lake,Lake Lakawaxen,Skier,Density Change,20.0,2400.0,6000.0,East,10200.0
1/19/2010,Uintas,Uintas,Skier,Facets,14.0,240.0,3600.0,Northeast,10900.0
1/19/2010,Salt Lake,Willows,Skier,New Snow/Old Snow Interface,12.0,480.0,1200.0,Northwest,9700.0
1/20/2010,Salt Lake,Scotts Peak,Skier,Unknown,24.0,3600.0,7200.0,Northeast,10000.0
1/20/2010,Salt Lake,Main Days,Skier,Unknown,18.0,2400.0,4800.0,Northeast,10400.0
1/20/2010,Salt Lake,Days Headwall,Natural,Facets,16.0,2400.0,4800.0,North,10100.0
1/20/2010,Salt Lake,Lake Desolation,Skier,Facets,24.0,1200.0,6000.0,Northwest,9800.0
1/20/2010,Salt Lake,East Bowl,Skier,Unknown,18.0,360.0,720.0,West,10000.0
1/21/2010,Salt Lake,Catherines,Skier,Density Change,10.0,720.0,5400.0,North,9500.0
1/21/2010,Logan,"4th Sister Ridge, low",Snowboarder,Facets,24.0,1200.0,2400.0,North,8000.0
1/21/2010,Salt Lake,Hidden Canyon,Skier,New Snow,18.0,600.0,2400.0,Northeast,9600.0
1/21/2010,Logan,"4th Sister Ridge, low",Skier,Facets,24.0,480.0,2400.0,North,8000.0
1/23/2010,Salt Lake,Salt Lake,Snowboarder,Facets,30.0,8400.0,7200.0,Northwest,9200.0
1/22/2010,Salt Lake,Brighton Hill,Snowboarder,Unknown,30.0,7200.0,10800.0,Northwest,9100.0
1/23/2010,Logan,East Faces-Wellsville Range,Natural,Unknown,60.0,18000.0,30000.0,Northeast,6000.0
1/23/2010,Salt Lake,Georges Bowl,Skier,Facets,60.0,2400.0,9600.0,Northeast,9800.0
1/23/2010,Salt Lake,Powder Park,Skier,Unknown,24.0,840.0,600.0,Southwest,9600.0
1/23/2010,Ogden,Huntsville Valley,Unknown,Unknown,10.0,600.0,120.0,Unknown,5800.0
1/24/2010,Salt Lake,West Desolation Ridge,Skier,Facets,36.0,30000.0,9600.0,North,9600.0
1/24/2010,Logan,Temple Fork Junction,Natural,Unknown,30.0,4800.0,4200.0,Northeast,6000.0
1/24/2010,Logan,pull-out east side,Unknown,Facets,24.0,1800.0,840.0,West,6800.0
1/24/2010,Salt Lake,Salt Lake,Unknown,Facets,18.0,360.0,4877.728916841011,East,1177.906188362129
1/25/2010,Salt Lake,Neffs,Skier,Facets,36.0,3600.0,12000.0,Northwest,9000.0
1/25/2010,Salt Lake,Dutch Draw,Snowboarder,Facets,36.0,240.0,2400.0,East,9900.0
1/23/2010,Logan,Gibson Canyon,Natural,Facets,48.0,18000.0,30000.0,Northeast,8500.0
1/22/2010,Uintas,Uintas,Natural,Facets,3.0,1200.0,4200.0,North,11000.0
1/24/2010,Uintas,Currant Creek Peak,Natural,Facets,36.0,8400.0,12000.0,Northeast,9800.0
1/27/2010,Salt Lake,Wilson Chutes,Skier,Facets,36.0,18000.0,9600.0,Northeast,9800.0
1/27/2010,Salt Lake,Yellowjacket Gulch,Skier,Facets,42.0,7200.0,9600.0,North,9200.0
1/25/2010,Logan,Naomi Trail,Unknown,Facets,48.0,600.0,1800.0,East,8400.0
1/24/2010,Logan,Rock Bowl,Natural,Facets,48.0,18000.0,9600.0,North,9200.0
1/23/2010,Salt Lake,Mary Ellen,Natural,Unknown,36.0,1800.0,7200.0,East,9600.0
1/28/2010,Salt Lake,Yellowjacket Gulch,Skier,Facets,36.0,2400.0,12000.0,North,9100.0
1/27/2010,Salt Lake,Big Cottonwood Canyon,Unknown,Unknown,6.0,480.0,240.0,Southwest,6100.0
1/27/2010,Salt Lake,Bullen Basin,Snowmobiler,Facets,48.0,1800.0,4200.0,East,9600.0
1/25/2010,Skyline,Skyline,Natural,Facets,36.0,7200.0,15000.0,Northeast,10000.0
1/28/2010,Salt Lake,Murdock Peak,Skier,Facets,30.0,6000.0,12000.0,Northeast,9500.0
