Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Need for Speed: Most Wanted 5-1-0,1,True,True,Racing / Driving,True,12.17,72,2005,EA
Pokmon Mystery Dungeon: Blue Rescue Team,1,True,True,Role-Playing (RPG),True,23.05,62,2005,Nintendo
Sonic Rush,1,True,True,Action,True,5.0,82,2005,Sega
Star Wars: Battlefront II,1,True,True,Action,True,8.0,69,2005,Unknown
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,True,True,Action,True,8.58,82,2005,Sony
Need for Speed: Most Wanted,2,True,True,Racing / Driving,True,10.0,83,2005,EA
The Sims 2,1,True,True,Role-Playing (RPG),True,30.98,70,2005,EA
Mario & Luigi: Partners in Time,1,True,True,Action,True,18.02,86,2005,Nintendo
Need for Speed Underground: Rivals,4,True,True,Racing / Driving,True,12.0,74,2005,EA
Perfect Dark Zero,4,True,True,Action,True,8.0,79,2005,Microsoft
Super Monkey Ball: Touch & Roll,1,True,True,Action,True,0.47000000000000003,63,2005,Sega
Super Princess Peach,1,True,True,Action,True,7.0,75,2005,Nintendo
Burnout Legends,1,True,True,Action,True,7.0,86,2005,EA
Untold Legends: Brotherhood of the Blade,1,True,True,Action,True,20.0,68,2005,"Activision,Sony"
The Sims 2,1,True,True,Simulation,True,30.98,65,2005,EA
WipEout Pure,1,True,True,Action,True,6.0,88,2005,Sony
NBA Live 06,1,True,True,Sports,True,4.0,80,2005,EA
WWE Smackdown vs. Raw 2006,4,True,True,Action,True,8.0,81,2005,THQ
Dead or Alive 4,4,True,True,Action,True,3.85,85,2005,Unknown
Phoenix Wright: Ace Attorney,1,True,True,Adventure,True,16.27,81,2005,Capcom
Spider-Man 2,1,True,True,Action,True,8.0,67,2005,Activision
Kirby: Canvas Curse,1,True,True,Action,True,4.8,86,2005,Nintendo
Battlefield 2: Modern Combat,4,True,True,Action,True,6.67,77,2005,EA
Yoshi Touch & Go,1,True,True,Action,True,3.0,73,2005,Nintendo
Condemned: Criminal Origins,1,True,True,Action,True,7.0,81,2005,Sega
Peter Jackson's King Kong: The Official Game of...,2,True,True,Action,True,7.0,80,2005,Ubisoft
Castlevania: Dawn of Sorrow,1,True,True,Action,True,10.42,89,2005,Konami
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,True,8.0,67,2005,THQ
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,True,4.17,58,2005,EA
Kameo: Elements of Power,1,True,True,Action,True,8.95,79,2005,Microsoft
Advance Wars: Dual Strike,1,True,True,Strategy,True,23.57,90,2005,Nintendo
Trauma Center: Under the Knife,1,True,True,Action,True,8.0,81,2005,Nintendo
Coded Arms,1,True,True,Action,True,4.82,59,2005,Konami
NBA LIVE 06 ,1,True,True,Sports,True,4.0,64,2005,EA
Tony Hawk's American Wasteland,1,True,True,Sports,True,12.0,75,2005,Activision
Star Wars: Episode III - Revenge of the Sith,1,True,True,Action,True,5.0,73,2005,Ubisoft
Madagascar,1,True,True,Adventure,True,5.0,66,2005,Activision
X-Men: Legends II - Rise of Apocalypse,1,True,True,Action,True,22.0,84,2005,Activision
Quake 4,1,True,True,Action,True,8.0,75,2005,Activision
Pokmon Trozei!,1,True,True,Strategy,True,2.93,74,2005,Nintendo
Need for Speed: Most Wanted,1,True,True,Racing / Driving,True,10.0,45,2005,EA
Mega Man Maverick Hunter X,1,True,True,Action,True,4.0,79,2005,Capcom
Metroid Prime Pinball,1,True,True,Action,True,2.77,79,2005,Nintendo
NBA 06,1,True,True,Sports,True,4.0,72,2005,Sony
GUN ,1,True,True,Action,True,6.0,75,2005,Activision
Harry Potter and the Goblet of Fire,1,True,True,Action,True,8.0,68,2005,EA
Death Jr.,1,True,True,Action,True,3.5300000000000002,61,2005,Konami
Harry Potter and the Goblet of Fire,1,True,True,Action,True,8.0,70,2005,EA
MediEvil Resurrection,1,True,True,Action,True,9.0,66,2005,Sony
"The Chronicles of Narnia: The Lion, the Witch a...",1,True,True,Action,True,2.45,65,2005,Unknown
Shrek SuperSlam,1,True,True,Action,True,1.5,56,2005,Activision
Burnout Legends,1,True,True,Action,True,7.0,38,2005,EA
Meteos,1,True,True,Strategy,True,7.5,88,2005,Nintendo
Spyro: Shadow Legacy,1,True,True,Role-Playing (RPG),True,2.52,50,2005,Unknown
Infected,1,True,True,Action,True,6.67,74,2005,Unknown
Pursuit Force,1,True,True,Action,True,10.0,75,2005,Sony
Dragon Ball Z: Supersonic Warriors 2,1,True,True,Action,True,14.97,66,2005,Atari
Dragon Quest Heroes: Rocket Slime,1,True,True,Action,True,12.17,83,2005,SquareEnix
Dead to Rights: Reckoning,1,True,True,Action,True,2.15,54,2005,Namco
Amped 3,1,True,True,Sports,True,6.67,72,2005,2K
Lunar: Dragon Song,1,True,True,Role-Playing (RPG),True,19.85,59,2005,Ubisoft
Metal Gear Ac!d 2,1,True,True,Strategy,True,14.2,80,2005,Konami
Bomberman,1,True,True,Strategy,True,3.2,75,2005,Ubisoft
GoldenEye: Rogue Agent,1,True,True,Action,True,8.5,58,2005,EA
Need for Speed Underground 2,1,True,True,Racing / Driving,True,20.0,65,2005,EA
The Lord of the Rings: Tactics,1,True,True,Role-Playing (RPG),True,5.0,64,2005,EA
Rengoku: The Tower of Purgatory,1,True,True,Action,True,4.72,43,2005,Konami
Ridge Racer 6,2,True,True,Racing / Driving,True,8.0,74,2005,"EA,Namco"
Ford Racing 3,1,True,True,Action,True,3.33,49,2005,Unknown
Battles of Prince of Persia,1,True,True,Strategy,True,8.0,64,2005,Ubisoft
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,True,4.17,34,2005,EA
Scooby-Doo! Unmasked,1,True,True,Action,True,8.0,60,2005,THQ
Viewtiful Joe: Double Trouble!,1,True,True,Action,True,5.0,73,2005,Capcom
The Legend of Heroes: A Tear of Vermillion,1,True,True,Role-Playing (RPG),True,25.0,68,2005,Unknown
Mega Man Battle Network 5: Double Team DS,1,True,True,Action,True,27.48,68,2005,Capcom
Nanostray,1,True,True,Action,True,1.2,71,2005,THQ
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,True,True,Action,True,4.5,58,2005,Konami
Pac-Man World 3,1,True,True,Action,True,8.0,61,2005,"EA,Namco"
Tokobot,1,True,True,Strategy,True,8.37,72,2005,Unknown
Fullmetal Alchemist: Dual Sympathy,1,True,True,Action,True,14.0,58,2005,Unknown
Exit,1,True,True,Action,True,6.0,77,2005,Ubisoft
The Rub Rabbits!,2,True,True,Action,True,2.17,68,2005,Sega
Electroplankton,1,True,True,Simulation,True,0.5,71,2005,Nintendo
Wii Play,2,True,True,Action,True,4.0,58,2006,Nintendo
New Super Mario Bros.,1,True,True,Action,True,7.0,89,2006,Nintendo
Pokmon Diamond,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Pokmon Pearl,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Gears of War,2,True,True,Action,True,9.0,94,2006,Microsoft
The Legend of Zelda: Twilight Princess,1,True,True,Action,True,37.0,95,2006,Nintendo
Cooking Mama,1,True,True,Simulation,True,7.0,67,2006,Unknown
Marvel Ultimate Alliance,4,True,True,Action,True,12.37,82,2006,Activision
Daxter,1,True,True,Action,True,7.57,85,2006,Sony
The Elder Scrolls IV: Oblivion,1,True,True,Action,True,24.0,94,2006,2K
Grand Theft Auto: Vice City Stories,1,True,True,Action,True,16.3,86,2006,Rockstar
Resistance: Fall of Man,4,True,True,Action,True,12.0,86,2006,Sony
MotorStorm,1,True,True,Action,True,15.0,82,2006,Sony
Call of Duty 3,2,True,True,Action,True,8.0,82,2006,Activision
Yoshi's Island DS,1,True,True,Action,True,9.17,81,2006,Nintendo
Tom Clancy's Ghost Recon: Advanced Warfighter,4,True,True,Action,True,8.75,90,2006,Ubisoft
Fight Night Round 3,2,True,True,Action,True,11.0,86,2006,EA
Pokmon Ranger,1,True,True,Role-Playing (RPG),True,12.57,69,2006,Nintendo
Rayman Raving Rabbids,4,True,True,Action,True,6.0,76,2006,Ubisoft
Saints Row,1,True,True,Action,True,17.0,81,2006,THQ
Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,True,9.0,88,2006,Ubisoft
Dead Rising,1,True,True,Action,True,10.53,85,2006,Capcom
Call of Duty 3,1,True,True,Action,True,8.0,69,2006,Activision
Lost Planet: Extreme Condition,1,True,True,Action,True,8.48,79,2006,Capcom
Mario Hoops 3 on 3,1,True,True,Sports,True,3.5,69,2006,Nintendo
LEGO Star Wars II: The Original Trilogy,1,True,True,Action,True,12.0,47,2006,EA
Super Monkey Ball: Banana Blitz,4,True,True,Action,True,5.4,74,2006,Sega
Need for Speed: Carbon - Own the City,1,True,True,Racing / Driving,True,15.72,73,2006,EA
WarioWare: Smooth Moves,6,True,True,Action,True,2.5,83,2006,Nintendo
Fight Night Round 3,2,True,True,Action,True,11.0,83,2006,EA
Final Fantasy III,1,True,True,Role-Playing (RPG),True,25.9,77,2006,SquareEnix
Kirby: Squeak Squad,1,True,True,Action,True,4.0,71,2006,Nintendo
Pokmon Battle Revolution,4,True,True,Action,True,13.0,53,2006,Nintendo
Medal of Honor: Heroes,1,True,True,Action,True,5.0,71,2006,EA
Tekken: Dark Resurrection,1,True,True,Action,True,2.37,88,2006,"Namco,Sony"
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,77,2006,EA
Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,True,4.32,76,2006,Nintendo
Sonic Rivals,1,True,True,Action,True,6.0,64,2006,Sega
Mortal Kombat: Unchained,2,True,True,Action,True,1.75,70,2006,Midway
Tom Clancy's Splinter Cell: Double Agent,1,True,True,Action,True,11.0,85,2006,Ubisoft
Tetris DS,1,True,True,Strategy,True,17.0,84,2006,Nintendo
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,83,2006,Unknown
Red Steel,4,True,True,Action,True,8.25,63,2006,Ubisoft
Metroid Prime: Hunters,1,True,True,Action,True,8.63,85,2006,Nintendo
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,81,2006,Unknown
NBA 2K7 ,1,True,True,Sports,True,8.18,84,2006,2K
Call of Duty 3,1,True,True,Action,True,8.0,80,2006,Activision
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,True,8.0,48,2006,THQ
Fight Night Round 3,2,True,True,Action,True,11.0,74,2006,EA
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,75,2006,EA
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,67,2006,EA
WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,81,2006,THQ
Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,80,2006,EA
Viva Pi$?ata,4,True,True,Simulation,True,19.0,84,2006,Microsoft
SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,Action,True,5.33,57,2006,THQ
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,68,2006,Activision
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,81,2006,Activision
Excite Truck,2,True,True,Racing / Driving,True,7.0,72,2006,Nintendo
Harvest Moon DS,1,True,True,Role-Playing (RPG),True,45.13,67,2006,Unknown
Star Fox Command,1,True,True,Action,True,3.0,76,2006,Nintendo
Metal Gear Solid: Portable Ops,1,True,True,Action,True,11.58,87,2006,Konami
Marvel Ultimate Alliance,4,True,True,Action,True,12.37,73,2006,Activision
WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,78,2006,THQ
Marvel Ultimate Alliance,1,True,True,Action,True,12.37,81,2006,Activision
Marvel Ultimate Alliance,4,True,True,Action,True,12.37,78,2006,Activision
Tiger Woods PGA Tour 07,4,True,True,Sports,True,10.0,81,2006,EA
Ace Combat X: Skies of Deception,1,True,True,Action,True,3.75,75,2006,Namco
Killzone: Liberation,1,True,True,Action,True,7.9,77,2006,Sony
F.E.A.R.: First Encounter Assault Recon,1,True,True,Action,True,8.42,85,2006,Unknown
NBA 2K7,7,True,True,Sports,True,8.18,80,2006,2K
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,76,2006,Activision
Avatar: The Last Airbender,1,True,True,Action,True,6.0,64,2006,THQ
Castlevania: Portrait of Ruin,1,True,True,Action,True,10.53,85,2006,Konami
Hitman: Blood Money,1,True,True,Action,True,12.0,82,2006,Eidos
Rockstar Games presents Table Tennis,2,True,True,Sports,True,6.0,81,2006,Rockstar
Trauma Center: Second Opinion,1,True,True,Action,True,8.5,80,2006,Nintendo
Tenchu Z,1,True,True,Action,True,20.88,56,2006,Microsoft
Elite Beat Agents,1,True,True,Action,True,4.0,87,2006,Nintendo
Street Fighter Alpha 3 MAX,1,True,True,Action,True,2.0,80,2006,Capcom
Blue Dragon,1,True,True,Role-Playing (RPG),True,46.03,79,2006,Microsoft
The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,True,14.5,79,2006,EA
Prey,1,True,True,Action,True,7.95,79,2006,2K
Over the Hedge,1,True,True,Adventure,True,2.0,71,2006,Activision
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,52,2006,Unknown
NHL 07 ,1,True,True,Sports,True,10.0,79,2006,EA
Monster Hunter Freedom,1,True,True,Action,True,60.0,71,2006,Capcom
Chromehounds,1,True,True,Action,True,10.0,71,2006,Sega
Test Drive Unlimited,1,True,True,Racing / Driving,True,30.0,82,2006,Atari
Dragon Ball Z: Budokai Tenkaichi 2,2,True,True,Action,True,10.0,72,2006,Atari
Dragon Quest Monsters: Joker,1,True,True,Role-Playing (RPG),True,37.3,75,2006,SquareEnix
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,63,2006,Unknown
Syphon Filter: Dark Mirror,1,True,True,Action,True,7.0,87,2006,Sony
Ridge Racer 7,2,True,True,Racing / Driving,True,10.0,78,2006,"Namco,Sony"
The Outfit,2,True,True,Action,True,8.0,70,2006,THQ
Elebits,4,True,True,Action,True,9.0,75,2006,Konami
Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,78,2006,EA
The Godfather: The Game,1,True,True,Action,True,15.0,77,2006,EA
Rampage: Total Destruction,4,True,True,Action,True,5.0,46,2006,Midway
Far Cry: Instincts - Predator,4,True,True,Action,True,14.98,78,2006,Ubisoft
Full Auto,2,True,True,Action,True,5.0,70,2006,Sega
Age of Empires: The Age of Kings,1,True,True,Strategy,True,46.0,80,2006,Unknown
Need for Speed: Carbon - Own the City,1,True,True,Action,True,15.72,70,2006,EA
Brothers in Arms: D-Day,1,True,True,Action,True,8.0,65,2006,Ubisoft
Family Guy Video Game!,1,True,True,Action,True,5.88,51,2006,2K
Superman Returns,1,True,True,Action,True,7.0,51,2006,EA
Mystery Dungeon: Shiren the Wanderer,1,True,True,Action,True,22.0,69,2006,Sega
Phoenix Wright: Ace Attorney - Justice for All,1,True,True,Adventure,True,17.5,76,2006,Capcom
Justice League Heroes,1,True,True,Action,True,5.0,72,2006,Unknown
Genji: Days of the Blade,1,True,True,Action,True,12.0,55,2006,Sony
Top Spin 2,4,True,True,Sports,True,10.0,75,2006,2K
Field Commander,2,True,True,Strategy,True,13.88,77,2006,"Sony,Ubisoft"
Children of Mana,1,True,True,Action,True,15.0,65,2006,"Nintendo,SquareEnix"
Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),True,29.98,80,2006,SquareEnix
Enchanted Arms,1,True,True,Role-Playing (RPG),True,21.83,69,2006,Ubisoft
NHL 07,4,True,True,Sports,True,10.0,76,2006,EA
Full Auto 2: Battlelines,2,True,True,Action,True,8.75,67,2006,Sega
Blitz: The League,2,True,True,Sports,True,15.0,69,2006,Midway
Star Trek Legacy,2,True,True,Action,True,11.0,64,2006,Ubisoft
Eragon,1,True,True,Action,True,6.0,63,2006,Unknown
Mega Man ZX,1,True,True,Action,True,8.95,76,2006,Capcom
X-Men: The Official Game,1,True,True,Action,True,12.5,52,2006,Activision
Happy Feet,2,True,True,Action,True,0.67,46,2006,Midway
Open Season,1,True,True,Action,True,3.5,72,2006,Ubisoft
Dungeon Siege: Throne of Agony,1,True,True,Role-Playing (RPG),True,17.22,74,2006,2K
LocoRoco,1,True,True,Action,True,5.0,83,2006,Sony
Dead or Alive: Xtreme 2,1,True,True,Racing / Driving,True,1.0,53,2006,Unknown
Fuzion Frenzy 2,4,True,True,Action,True,1.75,49,2006,Microsoft
Lumines II,2,True,True,Strategy,True,15.0,81,2006,Unknown
Star Wars: Lethal Alliance,1,True,True,Action,True,5.0,61,2006,Ubisoft
Worms: Open Warfare,1,True,True,Action,True,8.25,70,2006,THQ
Eragon,4,True,True,Action,True,6.0,59,2006,Unknown
Metal Slug Anthology,4,True,True,Action,True,6.0,73,2006,Unknown
Open Season,4,True,True,Action,True,3.5,59,2006,Ubisoft
Tom Clancy's Splinter Cell: Double Agent,2,True,True,Action,True,11.0,61,2006,Ubisoft
Avatar: The Last Airbender,1,True,True,Action,True,6.0,57,2006,THQ
Lemmings,1,True,True,Strategy,True,21.62,76,2006,Sony
Mega Man Powered Up,1,True,True,Action,True,3.0,82,2006,Capcom
Dynasty Warriors 5: Empires,2,True,True,Action,True,14.0,61,2006,Unknown
Magical Starsign,1,True,True,Role-Playing (RPG),True,25.83,69,2006,Nintendo
Resident Evil: Deadly Silence,1,True,True,Action,True,6.0,71,2006,Capcom
X-Men: The Official Game,1,True,True,Action,True,12.5,50,2006,Activision
Armored Core 4,2,True,True,Action,True,23.0,65,2006,Sega
Eragon,2,True,True,Action,True,6.0,48,2006,Unknown
LostMagic,1,True,True,Action,True,13.0,68,2006,Ubisoft
Magnetica,1,True,True,Action,True,9.93,68,2006,Nintendo
Def Jam Fight for NY: The Takeover,1,True,True,Action,True,5.15,79,2006,EA
The Ant Bully,1,True,True,Action,True,3.5700000000000003,45,2006,Midway
Just Cause,1,True,True,Action,True,8.12,73,2006,Eidos
Onechanbara: Bikini Samurai Squad,1,True,True,Action,True,5.0,39,2006,Unknown
Phantasy Star Universe,1,True,True,Role-Playing (RPG),True,26.82,64,2006,Sega
Project Sylpheed: Arc of Deception,1,True,True,Action,True,4.0,64,2006,"Microsoft,SquareEnix"
Winning Eleven: Pro Evolution Soccer 2007,6,True,True,Sports,True,10.0,80,2006,Konami
Digimon World DS,1,True,True,Role-Playing (RPG),True,25.0,49,2006,Namco
Justice League Heroes,1,True,True,Action,True,5.0,43,2006,Unknown
Open Season,4,True,True,Action,True,3.5,49,2006,Ubisoft
Samurai Warriors 2,4,True,True,Action,True,30.0,52,2006,Unknown
Import Tuner Challenge,2,True,True,Racing / Driving,True,25.0,54,2006,Ubisoft
Contact,1,True,True,Adventure,True,11.73,73,2006,Unknown
Touch Detective,1,True,True,Adventure,True,6.0,60,2006,Unknown
FIFA Street 2,1,True,True,Sports,True,19.5,58,2006,EA
007: From Russia with Love,1,True,True,Action,True,6.27,61,2006,EA
PaRappa the Rapper,1,True,True,Action,True,1.12,67,2006,Sony
Riviera: The Promised Land,1,True,True,Role-Playing (RPG),True,24.53,68,2006,Unknown
Samurai Warriors: State of War,1,True,True,Action,True,10.5,64,2006,Unknown
Viewtiful Joe: Red Hot Rumble,1,True,True,Action,True,4.8,63,2006,Capcom
Ice Age 2: The Meltdown,1,True,True,Action,True,5.0,66,2006,Unknown
Bionicle Heroes,1,True,True,Action,True,9.75,72,2006,Eidos
Deep Labyrinth,1,True,True,Role-Playing (RPG),True,13.57,57,2006,Unknown
Blade Dancer: Lineage of Light,1,True,True,Role-Playing (RPG),True,29.75,60,2006,Unknown
Every Extend Extra,1,True,True,Action,True,12.0,74,2006,Unknown
Ultimate Ghosts 'N' Goblins,1,True,True,Action,True,3.5,72,2006,Capcom
Xiaolin Showdown,1,True,True,Action,True,6.0,44,2006,Konami
Bionicle Heroes,1,True,True,Action,True,9.75,59,2006,Eidos
Bullet Witch,1,True,True,Action,True,6.28,55,2006,Atari
Death Jr. II: Root of Evil,2,True,True,Action,True,6.02,68,2006,Konami
Guilty Gear: Dust Strikers,1,True,True,Action,True,0.32,60,2006,Unknown
Lara Croft Tomb Raider: Legend,1,True,True,Action,True,7.42,58,2006,Eidos
Worms: Open Warfare,1,True,True,Action,True,8.25,64,2006,THQ
Snoopy vs. the Red Baron,1,True,True,Action,True,6.0,76,2006,Namco
Ys VI: The Ark of Napishtim,1,True,True,Action,True,13.0,64,2006,Konami
Bomberman Land Touch!,1,True,True,Action,True,15.0,78,2006,Unknown
Point Blank DS,1,True,True,Action,True,0.15,66,2006,"Atari,Namco"
Scurge: Hive,1,True,True,Action,True,9.58,70,2006,Unknown
Tao's Adventure: Curse of the Demon Seal,1,True,True,Role-Playing (RPG),True,45.0,50,2006,Konami
Gitaroo Man Lives!,1,True,True,Simulation,True,1.88,80,2006,Unknown
Gradius Collection,1,True,True,Action,True,10.0,76,2006,Konami
The Legend of Heroes II: Prophecy of the Moonli...,1,True,True,Role-Playing (RPG),True,20.62,63,2006,Namco
Pac-Man World Rally,1,True,True,Action,True,2.75,51,2006,Namco
Earth Defense Force 2017,2,True,True,Action,True,10.0,69,2006,Unknown
WarTech: Senko no Ronde,2,True,True,Action,True,1.0,60,2006,Ubisoft
MechAssault: Phantom War,1,True,True,Action,True,7.0,66,2006,Unknown
Astonishia Story,1,True,True,Role-Playing (RPG),True,19.15,48,2006,Ubisoft
MotoGP,1,True,True,Racing / Driving,True,7.5,69,2006,Sony
OutRun 2006: Coast 2 Coast,1,True,True,Racing / Driving,True,4.0,82,2006,Sega
Tenchu: Dark Secret,1,True,True,Action,True,7.1,37,2006,Nintendo
Metal Gear Solid: Digital Graphic Novel,1,True,True,Adventure,True,3.03,78,2006,Konami
Platypus,2,True,True,Action,True,1.25,59,2006,Unknown
Custom Robo Arena,1,True,True,Action,True,19.12,74,2006,Nintendo
Gurumin: A Monstrous Adventure,1,True,True,Action,True,9.4,78,2006,Unknown
Spider-Man 3,1,True,True,Action,True,9.67,58,2006,Ubisoft
Wii Fit,1,True,True,Educational,True,3.93,80,2007,Nintendo
Halo 3,4,True,True,Action,True,9.0,94,2007,Microsoft
Call of Duty 4: Modern Warfare,4,True,True,Action,True,7.0,94,2007,Activision
Super Mario Galaxy,2,True,True,Action,True,15.0,97,2007,Nintendo
Mario Party DS,1,True,True,Action,True,6.87,72,2007,Nintendo
Mario Party 8,4,True,True,Action,True,4.0,62,2007,Nintendo
Guitar Hero III: Legends of Rock,2,True,True,Action,True,8.0,85,2007,Activision
Link's Crossbow Training,1,True,True,Action,True,1.12,68,2007,Nintendo
Guitar Hero III: Legends of Rock,2,True,True,Action,True,8.0,86,2007,Activision
Assassin's Creed,1,True,True,Action,True,15.0,81,2007,Ubisoft
LEGO Star Wars: The Complete Saga,2,True,True,Action,True,14.0,80,2007,Unknown
Call of Duty 4: Modern Warfare,4,True,True,Action,True,7.0,94,2007,Activision
Mario & Sonic at the Olympic Games,4,True,True,Action,True,7.0,67,2007,"Nintendo,Sega"
LEGO Star Wars: The Complete Saga,1,True,True,Action,True,14.0,80,2007,Unknown
Forza Motorsport 2,2,True,True,Racing / Driving,True,54.2,90,2007,Microsoft
Madden NFL 08,4,True,True,Sports,True,17.0,85,2007,EA
Guitar Hero II,2,True,True,Action,True,9.0,92,2007,Activision
Rock Band,4,True,True,Action,True,7.75,92,2007,Unknown
The Legend of Zelda: Phantom Hourglass,1,True,True,Action,True,15.57,90,2007,Nintendo
Pokmon Mystery Dungeon: Explorers of Darkness,1,True,True,Role-Playing (RPG),True,20.85,59,2007,Nintendo
Pokmon Mystery Dungeon: Explorers of Time,1,True,True,Role-Playing (RPG),True,20.85,59,2007,Nintendo
Assassin's Creed,1,True,True,Action,True,15.0,81,2007,Ubisoft
Uncharted: Drake's Fortune,1,True,True,Action,True,8.47,88,2007,Sony
Mass Effect,1,True,True,Action,True,16.5,91,2007,Microsoft
Cooking Mama 2: Dinner with Friends,1,True,True,Simulation,True,5.13,70,2007,Unknown
BioShock,1,True,True,Action,True,12.0,96,2007,2K
Super Paper Mario,1,True,True,Action,True,18.0,85,2007,Nintendo
Ratchet & Clank: Size Matters,1,True,True,Action,True,7.0,85,2007,Sony
Dance Dance Revolution Hottest Party,4,True,True,Action,True,8.0,73,2007,Konami
Cooking Mama: Cook Off,2,True,True,Simulation,True,3.4,61,2007,Unknown
Gran Turismo 5: Prologue,2,True,True,Racing / Driving,True,10.72,80,2007,Sony
Professor Layton and the Curious Village,1,True,True,Adventure,True,12.47,85,2007,Nintendo
Resident Evil 4,1,True,True,Action,True,16.0,91,2007,Capcom
The Elder Scrolls IV: Oblivion,1,True,True,Action,True,24.0,93,2007,Ubisoft
Diddy Kong Racing DS,1,True,True,Racing / Driving,True,11.03,63,2007,Nintendo
Need for Speed: ProStreet,2,True,True,Racing / Driving,True,10.0,72,2007,EA
Deal or No Deal,1,True,True,Strategy,True,0.1,20,2007,Unknown
LEGO Star Wars: The Complete Saga,2,True,True,Action,True,14.0,80,2007,Unknown
Sonic and the Secret Rings,4,True,True,Action,True,9.27,69,2007,Sega
The Orange Box,1,True,True,Action,True,28.75,96,2007,Unknown
Crackdown,1,True,True,Action,True,10.0,83,2007,Microsoft
Rock Band,4,True,True,Action,True,7.75,92,2007,Unknown
WWE Smackdown vs. Raw 2008,4,True,True,Sports,True,10.0,71,2007,THQ
Madden NFL 08,4,True,True,Sports,True,17.0,81,2007,EA
Call of Duty 4: Modern Warfare,1,True,True,Action,True,7.0,75,2007,Activision
MySims,1,True,True,Simulation,True,7.18,68,2007,EA
Mario Strikers Charged,4,True,True,Action,True,10.0,79,2007,Nintendo
