Title,Handheld,Max Players,Multiplatform,Online,Genres,Licensed?,Publishers,Sequel,Review Score,Sales,Used Price,Console,Rating,Re-release,Year,All_Average,All_Leisure,All_Median,Length.All_Polled,All_Rushed,Comp_Average,Comp_Leisure,Comp_Median,Comp_Polled,Comp_Rushed,MainExtra_Average,MainExtra_Leisure,MainExtra_Median,MainExtra_Polled,MainExtra_Rushed,Main_Average,Main_Leisure,Main_Median,Main_Polled,Main_Rushed
Super Princess Peach,True,1,True,True,Action,True,Nintendo,True,75,0.7,29.95,Nintendo DS,T,True,2005,11.0,19.58,9.28,22,7.82,17.78,23.4,17.78,6,13.47,9.1,10.83,9.25,9,7.58,7.62,9.08,7.0,7,6.4
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,86,0.68,14.95,Sony PSP,T,True,2005,12.83,18.2,12.0,14,9.0,15.37,18.92,16.25,4,11.38,14.08,18.52,12.0,7,10.03,6.52,6.87,7.0,3,6.17
Madden NFL 06,True,2,True,True,Sports,True,EA,True,74,0.62,4.95,X360,E,True,2005,3.75,5.37,3.75,2,2.12,3.75,5.37,3.75,2,2.12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Clubhouse Games,True,1,True,True,Strategy,True,Nintendo,True,83,0.61,17.95,Nintendo DS,E,True,2005,20.0,20.0,20.0,1,20.0,20.0,20.0,20.0,1,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
ATV Offroad Fury: Blazin' Trails,True,4,True,True,"Racing / Driving,Sports",True,Sony,True,63,0.56,12.95,Sony PSP,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Untold Legends: Brotherhood of the Blade,True,1,True,True,"Action,Role-Playing (RPG)",True,"Activision,Sony",True,68,0.56,12.95,Sony PSP,M,True,2005,21.0,21.5,21.0,2,20.5,0.0,0.0,0.0,0,0.0,22.0,22.0,22.0,1,22.0,20.0,20.0,20.0,1,20.0
Tony Hawk's Underground 2: Remix,True,1,True,True,Sports,True,Activision,True,83,0.49,14.95,Sony PSP,T,True,2005,23.45,23.45,23.45,1,23.45,23.45,23.45,23.45,1,23.45,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
The Sims 2,True,1,True,True,"Simulation,Strategy",True,EA,True,65,0.46,14.95,Sony PSP,T,True,2005,55.93,122.7,34.92,20,29.7,200.0,200.0,200.0,1,200.0,61.55,90.38,60.0,7,42.0,40.67,77.9,30.98,12,24.9
WipEout Pure,True,1,True,True,"Action,Racing / Driving",True,Sony,True,88,0.45,12.95,Sony PSP,E,True,2005,9.52,14.58,8.8,8,6.38,0.0,0.0,0.0,0,0.0,14.2,16.55,12.0,3,11.85,6.72,9.67,6.0,5,4.98
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,0.42,9.95,Sony PSP,E,True,2005,4.0,4.0,4.0,1,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
WWE Smackdown vs. Raw 2006,True,4,True,True,"Action,Sports",True,THQ,True,81,0.38,14.95,Sony PSP,T,True,2005,19.5,47.23,9.42,14,10.08,46.48,59.48,31.48,3,33.48,31.0,35.5,31.0,2,26.5,7.97,9.6,8.0,9,6.85
Dead or Alive 4,True,4,True,True,Action,True,Unknown,True,85,0.38,17.95,X360,E,True,2005,27.38,158.33,6.0,25,8.5,138.75,209.05,97.5,4,89.05,11.07,15.27,10.0,7,7.77,3.73,5.4,3.85,14,2.07
Phoenix Wright: Ace Attorney,True,1,True,True,"Adventure,Simulation",True,Capcom,True,81,0.38,24.95,Nintendo DS,E,True,2005,19.68,32.18,19.05,240,12.18,22.35,33.37,21.17,87,14.12,23.32,29.3,23.0,30,16.57,16.92,25.73,16.27,123,10.8
Spider-Man 2,True,1,True,True,Action,True,Activision,True,67,0.38,14.95,Sony PSP,M,True,2005,13.25,48.38,10.0,37,7.07,72.57,78.87,72.57,2,66.28,12.77,17.32,12.5,12,10.48,8.35,11.08,8.0,23,5.33
NFL Street 2,True,4,True,True,Sports,True,EA,True,73,0.37,17.95,Sony PSP,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Kirby: Canvas Curse,True,1,True,True,Action,True,Nintendo,True,86,0.37,17.95,Nintendo DS,T,True,2005,7.4,14.27,5.67,40,4.58,16.12,19.02,15.97,6,12.27,9.7,13.18,9.5,6,6.68,5.03,7.45,4.8,28,3.78
Battlefield 2: Modern Combat,True,4,True,True,Action,True,EA,True,77,0.36,16.95,X360,E,True,2005,7.32,8.1,6.93,4,6.72,0.0,0.0,0.0,0,0.0,9.07,9.07,9.07,1,9.07,6.73,6.95,6.67,3,6.52
Yoshi Touch & Go,True,1,True,True,Action,True,Nintendo,True,73,0.36,17.95,Nintendo DS,T,True,2005,4.5,5.25,4.5,2,3.75,0.0,0.0,0.0,0,0.0,6.0,6.0,6.0,1,6.0,3.0,3.0,3.0,1,3.0
Tiger Woods PGA Tour 06,True,4,True,True,Sports,True,EA,True,71,0.33,9.95,X360,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Condemned: Criminal Origins,True,1,True,True,"Action,Adventure",True,Sega,True,81,0.33,14.95,X360,E,True,2005,8.17,14.87,7.55,156,5.92,14.15,15.42,15.0,7,12.28,9.53,15.58,9.0,42,7.18,7.25,11.05,7.0,107,5.55
Peter Jackson's King Kong: The Official Game of...,True,2,True,True,Action,True,Ubisoft,True,80,0.32,14.95,X360,T,True,2005,6.97,8.58,7.0,49,5.48,7.58,8.98,8.0,17,6.55,6.8,8.33,6.57,10,5.83,6.58,8.38,7.0,22,5.38
Castlevania: Dawn of Sorrow,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,89,0.31,17.95,Nintendo DS,T,True,2005,16.03,62.45,13.0,130,9.75,30.02,69.18,26.0,19,20.25,15.48,32.37,14.0,63,10.53,11.22,16.15,10.42,48,7.9
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,67,0.31,13.95,Nintendo DS,E,True,2005,11.85,13.78,11.85,2,9.92,15.7,15.7,15.7,1,15.7,0.0,0.0,0.0,0,0.0,8.0,8.0,8.0,1,8.0
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,58,0.31,17.95,Sony PSP,T,True,2005,5.03,6.15,4.58,8,4.13,0.0,0.0,0.0,0,0.0,6.15,7.15,7.5,3,5.13,4.37,4.63,4.17,5,3.97
Kameo: Elements of Power,True,1,True,True,Action,True,Microsoft,True,79,0.31,11.95,X360,T,True,2005,10.03,14.55,10.2,43,7.28,17.0,17.0,17.0,1,17.0,11.43,15.1,11.0,12,9.48,9.25,10.7,8.95,30,6.78
Advance Wars: Dual Strike,True,1,True,True,Strategy,True,Nintendo,True,90,0.3,17.95,Nintendo DS,T,True,2005,70.37,249.55,27.83,34,33.55,292.5,360.62,250.0,4,245.62,73.87,102.77,63.83,10,54.42,24.2,27.93,23.57,20,20.93
Trauma Center: Under the Knife,True,1,True,True,"Action,Simulation",True,Nintendo,True,81,0.3,15.95,Nintendo DS,T,True,2005,8.75,11.75,8.27,32,6.75,9.07,11.57,7.22,3,6.57,11.43,13.35,12.0,5,10.35,8.15,9.92,8.0,24,6.65
Coded Arms,True,1,True,True,Action,True,Konami,True,59,0.3,12.95,Sony PSP,M,True,2005,7.07,8.27,6.0,5,5.58,0.0,0.0,0.0,0,0.0,8.57,9.57,9.72,3,7.57,4.82,4.9,4.82,2,4.73
NBA LIVE 06 ,True,1,True,True,Sports,True,EA,True,64,0.29,4.95,X360,E,True,2005,4.0,4.0,4.0,1,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
Tony Hawk's American Wasteland,True,1,True,True,Sports,True,Activision,True,75,0.29,14.95,X360,E,True,2005,12.88,14.97,13.0,18,9.27,15.0,16.0,15.0,2,14.0,13.67,14.53,13.0,7,12.67,11.8,13.45,12.0,9,8.75
Star Wars: Episode III - Revenge of the Sith,True,1,True,True,Action,True,Ubisoft,True,73,0.28,16.95,Nintendo DS,E,True,2005,5.1,6.02,5.0,25,4.02,6.27,6.68,6.5,3,5.85,5.62,6.28,5.55,7,4.78,4.62,5.22,5.0,15,3.9
Capcom Classics Collection Remixed,True,1,True,True,Action,True,Capcom,True,72,0.28,17.95,Sony PSP,E,True,2005,35.67,35.67,35.67,1,35.67,0.0,0.0,0.0,0,0.0,35.67,35.67,35.67,1,35.67,0.0,0.0,0.0,0,0.0
Madagascar,True,1,True,True,Adventure,True,Activision,True,66,0.27,14.95,Nintendo DS,E,True,2005,6.68,9.17,6.0,12,4.92,0.0,0.0,0.0,0,0.0,9.5,10.87,10.0,4,7.87,5.28,6.07,5.0,8,4.32
X-Men: Legends II - Rise of Apocalypse,True,1,True,True,"Action,Role-Playing (RPG)",True,Activision,True,84,0.27,17.95,Sony PSP,M,True,2005,22.33,32.08,22.0,18,18.08,23.57,24.78,23.57,2,22.35,21.88,31.97,22.0,9,17.97,22.57,27.98,22.0,7,19.05
Quake 4,True,1,True,True,Action,True,Activision,True,75,0.27,14.95,X360,E,True,2005,9.13,15.97,8.45,110,6.38,13.6,18.23,13.0,13,10.15,10.5,12.13,10.03,26,8.38,7.8,10.75,8.0,71,5.95
Pokmon Trozei!,True,1,True,True,Strategy,True,Nintendo,True,74,0.26,19.95,Nintendo DS,E,True,2005,3.23,4.03,2.93,5,2.85,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.23,4.03,2.93,5,2.85
Need for Speed: Most Wanted,True,1,True,True,Racing / Driving,True,EA,True,45,0.25,15.95,Nintendo DS,E,True,2005,14.6,46.65,12.0,182,8.37,34.6,56.15,30.0,21,25.22,15.92,33.25,14.0,51,12.47,10.18,17.03,10.0,110,6.75
Mega Man Maverick Hunter X,True,1,True,True,Action,True,Capcom,True,79,0.25,17.95,Sony PSP,E,True,2005,6.77,14.12,5.68,18,3.47,7.45,11.27,7.67,5,4.12,8.05,14.75,7.0,8,5.25,4.07,4.43,4.0,5,3.52
Metroid Prime Pinball,True,1,True,True,"Action,Simulation",True,Nintendo,True,79,0.22,17.95,Nintendo DS,E,True,2005,5.57,8.63,5.0,7,3.28,8.67,10.42,9.0,3,6.92,5.0,5.0,5.0,1,5.0,2.68,3.37,2.77,3,2.02
NBA 06,True,1,True,True,Sports,True,Sony,True,72,0.22,9.95,Sony PSP,E,True,2005,4.0,4.0,4.0,1,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
GUN ,True,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",True,Activision,True,75,0.22,19.95,X360,E,True,2005,8.85,14.83,8.0,83,5.95,13.18,17.23,13.25,19,10.1,8.55,10.53,8.52,36,6.63,6.3,10.08,6.0,28,4.82
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,0.22,4.95,X360,E,True,2005,0.62,0.7,0.53,3,0.53,0.62,0.7,0.53,3,0.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Pinball Hall of Fame: The Gottlieb Collection,True,4,True,True,Action,True,Unknown,True,73,0.21,9.95,Sony PSP,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,68,0.21,17.95,Nintendo DS,T,True,2005,10.53,13.08,8.82,18,6.33,15.0,15.5,15.0,4,14.5,14.38,15.67,15.28,4,12.67,7.2,8.3,8.0,10,5.3
Tony Hawk's American Sk8land,True,1,True,True,Sports,True,Activision,True,84,0.21,16.95,Nintendo DS,E,True,2005,18.8,20.7,20.0,5,16.2,0.0,0.0,0.0,0,0.0,18.8,20.7,20.0,5,16.2,0.0,0.0,0.0,0,0.0
MVP Baseball,True,1,True,True,Sports,True,EA,True,67,0.21,4.95,Sony PSP,M,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,0.21,17.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
World Series of Poker,True,1,True,True,"Sports,Strategy",True,Activision,True,37,0.21,14.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
SSX on Tour,True,1,True,True,Sports,True,EA,True,79,0.2,16.95,Sony PSP,E,True,2005,15.5,16.25,15.5,4,14.75,0.0,0.0,0.0,0,0.0,15.5,16.25,15.5,4,14.75,0.0,0.0,0.0,0,0.0
Tiger Woods PGA Tour 06,True,1,True,True,Sports,True,EA,True,80,0.2,9.95,Sony PSP,T,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Death Jr.,True,1,True,True,Action,True,Konami,True,61,0.19,9.95,Sony PSP,M,True,2005,3.53,3.53,3.53,1,3.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.53,3.53,3.53,1,3.53
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,70,0.19,17.95,Sony PSP,T,True,2005,10.53,13.08,8.82,18,6.33,15.0,15.5,15.0,4,14.5,14.38,15.67,15.28,4,12.67,7.2,8.3,8.0,10,5.3
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,0.19,17.95,Sony PSP,T,True,2005,9.6,10.82,9.72,6,7.73,9.25,10.67,10.43,3,7.82,0.0,0.0,0.0,0,0.0,9.97,10.73,9.0,3,9.2
"The Chronicles of Narnia: The Lion, the Witch a...",True,1,True,True,"Action,Role-Playing (RPG)",True,Unknown,True,65,0.18,12.95,Nintendo DS,T,True,2005,4.35,5.75,2.67,6,2.9,0.0,0.0,0.0,0,0.0,8.0,8.0,8.0,1,8.0,3.62,5.52,2.45,5,2.67
Shrek SuperSlam,True,1,True,True,Action,True,Activision,True,56,0.18,11.95,Nintendo DS,E,True,2005,1.22,1.67,1.5,5,0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.22,1.67,1.5,5,0.9
Virtua Tennis: World Tour,True,1,True,True,Sports,True,Sega,True,84,0.18,14.95,Sony PSP,M,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Prince of Persia: Revelations,True,1,True,True,Action,True,Ubisoft,True,65,0.17,6.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
