Region,Month,Day,Year,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet
Salt Lake,1,11,2013,Skier,Facets,18.0,6000.0,Northeast,9300.0
Salt Lake,1,12,2013,Skier,Density Change,12.0,720.0,Northeast,9200.0
Salt Lake,1,12,2013,Skier,Facets,18.0,8400.0,Northeast,7900.0
Salt Lake,1,12,2013,Natural,Depth Hoar,24.0,9600.0,Northeast,10300.0
Salt Lake,1,12,2013,Skier,Facets,18.0,4200.0,Northeast,9300.0
Salt Lake,1,11,2013,Natural,Facets,30.0,15000.0,East,10300.0
Salt Lake,1,17,2013,Unknown,Unknown,6.0,1800.0,East,10200.0
Skyline,12,27,2012,Natural,Facets,36.0,8400.0,North,9900.0
Salt Lake,1,18,2013,Natural,New Snow,12.0,600.0,East,8100.0
Ogden,1,23,2013,Snowboarder,Facets,12.0,600.0,Northeast,7300.0
Provo,1,24,2013,Natural,Facets,12.0,12000.0,Northwest,6200.0
Logan,1,25,2013,Unknown,Ground Interface,12.0,6000.0,North,6000.0
Provo,1,25,2013,Natural,Facets,12.0,21000.0,North,7300.0
Logan,1,25,2013,Snowmobiler,Unknown,14.0,6000.0,East,8600.0
Logan,1,25,2013,Snowmobiler,Facets,12.0,4800.0,North,8600.0
Salt Lake,1,26,2013,Unknown,Facets,14.0,1500.0,Northeast,9600.0
Salt Lake,1,26,2013,Skier,Facets,12.0,4800.0,Northwest,9700.0
Logan,1,26,2013,Natural,Ground Interface,10.0,7200.0,Northwest,5600.0
Salt Lake,1,27,2013,Skier,New Snow/Old Snow Interface,12.0,600.0,Unknown,9700.0
Salt Lake,1,28,2013,Skier,Facets,24.0,6000.0,North,9600.0
Salt Lake,1,28,2013,Skier,Facets,36.0,840.0,Northwest,9800.0
Salt Lake,1,28,2013,Skier,Facets,3.0,1800.0,Northwest,9900.0
Salt Lake,1,30,2013,Skier,New Snow/Old Snow Interface,36.0,6000.0,Northeast,9400.0
Salt Lake,1,31,2013,Skier,Facets,18.0,960.0,Northwest,7800.0
Skyline,1,31,2013,Natural,Facets,18.0,1800.0,Northeast,9800.0
Skyline,1,31,2013,Natural,Facets,18.0,2400.0,Northeast,9800.0
Skyline,1,30,2013,Natural,Density Change,24.0,9600.0,East,10200.0
Ogden,2,1,2013,Natural,Ground Interface,12.0,12000.0,North,5800.0
Provo,2,2,2013,Skier,Facets,24.0,960.0,East,9400.0
Provo,2,2,2013,Skier,Facets,24.0,6000.0,North,9100.0
Salt Lake,2,2,2013,Skier,Facets,30.0,2400.0,Northwest,9900.0
Southwest,2,2,2013,Snowmobiler,Facets,30.0,4800.0,Northeast,10400.0
Southwest,2,2,2013,Snowmobiler,Facets,36.0,6000.0,Northeast,10400.0
Salt Lake,2,2,2013,Skier,Facets,36.0,24000.0,North,9900.0
Skyline,2,2,2013,Snowmobiler,Facets,24.0,3600.0,East,10100.0
Skyline,2,2,2013,Snowmobiler,Facets,24.0,3600.0,Northeast,10300.0
Skyline,2,2,2013,Snowmobiler,Facets,24.0,4800.0,Northeast,10400.0
Skyline,2,1,2013,Snowmobiler,Density Change,30.0,1200.0,East,9700.0
Salt Lake,2,3,2013,Skier,Facets,30.0,4200.0,North,9900.0
Salt Lake,2,3,2013,Skier,Facets,18.0,3600.0,Northwest,8900.0
Logan,2,3,2013,Snowmobiler,Facets,24.0,3600.0,Northeast,8400.0
Logan,2,3,2013,Natural,Facets,24.0,5400.0,East,9200.0
Uintas,2,3,2013,Snowmobiler,Facets,16.0,1800.0,Northeast,11000.0
Uintas,2,2,2013,Snowmobiler,Facets,12.0,2400.0,Southeast,10600.0
Uintas,2,3,2013,Snowmobiler,Facets,24.0,6000.0,Northeast,10600.0
Uintas,2,3,2013,Snowmobiler,Facets,36.0,3000.0,Northeast,10000.0
Provo,2,5,2013,Natural,Facets,12.0,24000.0,East,9700.0
Logan,2,5,2013,Unknown,Facets,36.0,5400.0,Southeast,9500.0
Salt Lake,2,1,2013,Unknown,Unknown,30.0,7200.0,Northeast,9800.0
Salt Lake,2,10,2013,Natural,Ground Interface,60.0,5400.0,Northeast,9500.0
Salt Lake,2,12,2013,Skier,New Snow/Old Snow Interface,12.0,240.0,Southeast,10500.0
Skyline,2,14,2013,Natural,New Snow,10.0,1800.0,Northeast,9700.0
Uintas,2,15,2013,Snowmobiler,New Snow/Old Snow Interface,18.0,3600.0,Southeast,10500.0
Skyline,2,16,2013,Snowmobiler,Facets,24.0,480.0,Northeast,10100.0
Salt Lake,2,17,2013,Unknown,Facets,5.0,8400.0,Northeast,9600.0
Uintas,2,13,2013,Natural,Facets,36.0,3600.0,Southeast,10500.0
Skyline,2,17,2013,Natural,Facets,24.0,3600.0,East,10000.0
Salt Lake,2,16,2013,Natural,Graupel,16.0,3000.0,Northwest,8500.0
Salt Lake,2,19,2013,Skier,Unknown,18.0,1800.0,Northwest,10000.0
Uintas,2,21,2013,Skier,Facets,16.0,3600.0,Northwest,10200.0
Salt Lake,2,24,2013,Skier,New Snow/Old Snow Interface,8.0,2400.0,North,8600.0
Salt Lake,2,24,2013,Skier,Facets,14.0,840.0,Northwest,9800.0
Provo,2,23,2013,Natural,New Snow,16.0,2400.0,Southeast,10400.0
Salt Lake,2,25,2013,Skier,New Snow/Old Snow Interface,12.0,1800.0,Southeast,10000.0
Salt Lake,2,24,2013,Snowboarder,New Snow/Old Snow Interface,10.0,3600.0,South,10200.0
Salt Lake,2,24,2013,Skier,Facets,14.0,1800.0,Northwest,9800.0
Salt Lake,2,28,2013,Natural,Facets,16.0,4800.0,Northeast,10600.0
Salt Lake,2,26,2013,Skier,Facets,12.0,1200.0,North,8900.0
Skyline,3,1,2013,Snowmobiler,Facets,24.0,3000.0,Northeast,10400.0
Salt Lake,3,2,2013,Snowboarder,Facets,24.0,3600.0,Northeast,9400.0
Provo,3,2,2013,Natural,Facets,8.0,9600.0,Northwest,6000.0
Provo,3,2,2013,Natural,Wet grains,8.0,15000.0,Southeast,10100.0
Salt Lake,3,3,2013,Skier,Density Change,8.0,2100.0,Northwest,9800.0
Provo,3,3,2013,Natural,New Snow/Old Snow Interface,24.0,18000.0,Southeast,10000.0
Provo,3,3,2013,Natural,Unknown,10.0,18000.0,Southeast,10400.0
Provo,3,3,2013,Natural,Facets,10.0,6000.0,Northeast,6000.0
Salt Lake,3,4,2013,Skier,New Snow/Old Snow Interface,8.0,7200.0,North,10200.0
Provo,3,4,2013,Natural,Density Change,12.0,18000.0,Southeast,10100.0
Salt Lake,3,4,2013,Unknown,Unknown,8.0,3000.0,East,10000.0
Salt Lake,3,5,2013,Skier,New Snow/Old Snow Interface,10.0,6000.0,North,10800.0
Logan,3,3,2013,Natural,Ground Interface,16.0,15681.2955312705,North,19406.039867567
Salt Lake,3,4,2013,Skier,Facets,30.0,4200.0,Northwest,7300.0
Salt Lake,3,9,2013,Skier,Density Change,5.0,4800.0,South,9800.0
Salt Lake,3,10,2013,Skier,Density Change,4.0,10800.0,South,10700.0
Salt Lake,3,10,2013,Skier,New Snow,6.0,4200.0,East,10100.0
Salt Lake,3,10,2013,Unknown,New Snow/Old Snow Interface,15.0,1800.0,East,9500.0
Salt Lake,3,11,2013,Skier,New Snow/Old Snow Interface,6.0,3000.0,North,10000.0
Moab,3,10,2013,Natural,New Snow,36.0,9600.0,Southwest,11800.0
Logan,3,12,2013,Snowmobiler,Facets,12.0,1500.0,West,6500.0
Provo,3,13,2013,Skier,Wet grains,6.0,21000.0,Southeast,10500.0
Logan,3,13,2013,Natural,Ground Interface,18.0,8400.0,West,7600.0
Salt Lake,3,15,2013,Natural,Wet grains,36.0,8400.0,East,9900.0
Logan,3,14,2013,Natural,Unknown,24.0,9600.0,West,7600.0
Uintas,3,18,2013,Skier,Facets,30.0,12000.0,Northeast,10800.0
Uintas,3,15,2013,Natural,Depth Hoar,36.0,2400.0,Northeast,9800.0
Salt Lake,3,20,2013,Skier,New Snow,8.0,4800.0,North,10100.0
Salt Lake,3,21,2013,Skier,Density Change,10.0,4200.0,Northeast,10200.0
Logan,3,21,2013,Skier,New Snow/Old Snow Interface,12.0,2400.0,East,9000.0
Salt Lake,3,21,2013,Natural,Graupel,10.0,1200.0,Northwest,10500.0
Provo,3,23,2013,Snow Bike,New Snow/Old Snow Interface,4.0,3600.0,Southeast,9500.0
Salt Lake,3,23,2013,Skier,New Snow,12.0,9600.0,Northeast,10100.0
Salt Lake,3,23,2013,Skier,New Snow,9.0,4800.0,Northeast,10100.0
Salt Lake,3,21,2013,Natural,New Snow/Old Snow Interface,20.0,18000.0,Northeast,10600.0
Logan,3,23,2013,Snowboarder,New Snow/Old Snow Interface,16.0,1200.0,Northeast,9100.0
Salt Lake,3,23,2013,Skier,New Snow,6.0,7200.0,Northeast,10200.0
Salt Lake,3,23,2013,Skier,Facets,20.0,2400.0,Northeast,10200.0
Salt Lake,3,23,2013,Skier,New Snow/Old Snow Interface,10.0,2400.0,East,8800.0
Salt Lake,3,24,2013,Skier,New Snow,15.0,8400.0,Northeast,9600.0
Provo,3,24,2013,Skier,New Snow/Old Snow Interface,15.0,1800.0,Southeast,9100.0
Salt Lake,3,23,2013,Snowboarder,New Snow/Old Snow Interface,12.0,3000.0,North,9800.0
Salt Lake,3,24,2013,Skier,New Snow/Old Snow Interface,21.0,4800.0,North,9500.0
Salt Lake,3,25,2013,Skier,New Snow/Old Snow Interface,18.0,21000.0,Southeast,10800.0
Moab,3,25,2013,Snowmobiler,Facets,48.0,2400.0,North,9800.0
Uintas,4,2,2013,Natural,New Snow/Old Snow Interface,10.0,1800.0,Northeast,10200.0
Uintas,4,3,2013,Natural,Depth Hoar,48.0,4800.0,Northeast,10600.0
Salt Lake,4,9,2013,Snowboarder,New Snow/Old Snow Interface,10.0,4200.0,Northeast,10500.0
Salt Lake,4,9,2013,Snowboarder,New Snow/Old Snow Interface,9.0,480.0,Southeast,9500.0
Salt Lake,4,10,2013,Skier,New Snow/Old Snow Interface,10.0,7200.0,East,9800.0
Salt Lake,4,11,2013,Skier,New Snow/Old Snow Interface,8.0,18000.0,East,9900.0
Uintas,4,11,2013,Natural,Facets,60.0,9600.0,North,11000.0
Skyline,4,18,2013,Natural,New Snow,1.0,3600.0,Southeast,10500.0
Salt Lake,4,20,2013,Skier,New Snow/Old Snow Interface,10.0,3600.0,East,10300.0
Salt Lake,4,20,2013,Natural,Density Change,14.0,4200.0,Northeast,10400.0
Salt Lake,4,20,2013,Natural,New Snow,6.0,1800.0,Northeast,9800.0
Salt Lake,4,21,2013,Snowboarder,New Snow/Old Snow Interface,12.0,12000.0,East,10400.0
Salt Lake,4,21,2013,Skier,New Snow/Old Snow Interface,8.0,5400.0,South,10000.0
Salt Lake,4,21,2013,Natural,Wet grains,6.0,24000.0,East,11000.0
Logan,4,27,2013,Natural,New Snow,7.0,12000.0,East,11200.0
Salt Lake,5,5,2013,Natural,Wet grains,18.0,8400.0,Southwest,11000.0
Salt Lake,11,23,2009,Skier,New Snow,10.0,3600.0,Northeast,9800.0
Logan,11,23,2009,Skier,Unknown,21.0,7200.0,North,9400.0
Logan,12,6,2009,Snowboarder,Unknown,11.0,1200.0,North,8200.0
Salt Lake,12,7,2009,Skier,Unknown,12.0,9600.0,Northeast,9400.0
Salt Lake,12,8,2009,Natural,Facets,6.0,1800.0,North,9900.0
Skyline,12,9,2009,Snowmobiler,Facets,42.0,4200.0,East,9500.0
Salt Lake,12,12,2009,Skier,Facets,13.0,2400.0,North,9200.0
Salt Lake,12,12,2009,Skier,Facets,13.0,1500.0,Northeast,10000.0
Salt Lake,12,12,2009,Skier,Facets,16.0,600.0,West,9200.0
Provo,12,13,2009,Natural,Facets,15.0,6000.0,Northwest,6100.0
Salt Lake,12,13,2009,Natural,Unknown,14.0,7200.0,Northeast,9900.0
Salt Lake,12,13,2009,Natural,Facets,16.0,3600.0,Northeast,9400.0
Logan,12,13,2009,Snowboarder,Facets,18.0,1200.0,Northeast,8200.0
Provo,12,14,2009,Unknown,Facets,30.0,360.0,Northeast,8200.0
Salt Lake,12,14,2009,Snowboarder,Facets,36.0,1800.0,North,9500.0
Salt Lake,12,15,2009,Skier,Unknown,20.0,5400.0,North,10200.0
Uintas,12,15,2009,Natural,Facets,30.0,1200.0,East,9600.0
Salt Lake,12,15,2009,Unknown,Facets,42.0,1200.0,Northeast,9400.0
Salt Lake,12,16,2009,Skier,Facets,36.0,4800.0,North,9600.0
Salt Lake,12,17,2009,Skier,Facets,24.0,2400.0,Northeast,9500.0
Logan,12,18,2009,Skier,Facets,24.0,3000.0,North,8800.0
Skyline,12,18,2009,Natural,Unknown,24.0,4200.0,East,9900.0
Salt Lake,12,20,2009,Skier,Facets,30.0,1800.0,North,10100.0
Skyline,12,23,2009,Natural,Unknown,24.0,5400.0,Northeast,9400.0
Logan,12,24,2009,Unknown,Facets,36.0,6000.0,Northeast,9500.0
Provo,12,26,2009,Skier,Facets,24.0,6000.0,Southwest,9700.0
Provo,12,29,2009,Skier,Surface Hoar,2.0,1200.0,Southeast,8000.0
Salt Lake,12,30,2009,Skier,Unknown,8.0,4800.0,East,9800.0
Salt Lake,1,1,2010,Skier,Unknown,18.0,4800.0,Northeast,9500.0
Logan,1,1,2010,Skier,Facets,24.0,4435.5363866242,Southeast,21652.5865123995
Ogden,1,2,2010,Skier,Unknown,12.0,3600.0,Northeast,8500.0
Salt Lake,1,2,2010,Snowboarder,New Snow/Old Snow Interface,20.0,12000.0,Northeast,9500.0
Logan,1,2,2010,Snowmobiler,Facets,18.0,1500.0,East,8700.0
Logan,1,2,2010,Skier,Facets,10.0,21000.0,Northeast,8900.0
Ogden,1,2,2010,Snowboarder,Facets,10.0,2400.0,Northeast,8000.0
Provo,1,3,2010,Skier,Facets,24.0,3600.0,Northeast,10000.0
Provo,1,3,2010,Skier,Facets,12.0,3600.0,East,9900.0
Logan,1,3,2010,Snowmobiler,Facets,24.0,3000.0,North,8800.0
Salt Lake,1,5,2010,Unknown,Facets,12.0,360.0,Northwest,9100.0
Logan,1,3,2010,Skier,Facets,15.0,6000.0,North,8700.0
Salt Lake,1,6,2010,Snowboarder,Unknown,20.0,7200.0,North,9600.0
Salt Lake,1,7,2010,Skier,Unknown,24.0,4800.0,Northeast,10200.0
Logan,1,1,2010,Natural,Facets,24.0,2100.0,Northeast,9300.0
Logan,1,1,2010,Natural,Facets,36.0,9600.0,Northeast,9600.0
Salt Lake,1,10,2010,Skier,Unknown,12.0,3600.0,South,9300.0
Logan,1,7,2010,Natural,Facets,18.0,6000.0,Northeast,9000.0
Salt Lake,1,18,2010,Skier,Unknown,18.0,7200.0,Northwest,9700.0
Salt Lake,1,19,2010,Skier,Facets,30.0,3600.0,North,9300.0
Salt Lake,1,19,2010,Skier,Density Change,20.0,6000.0,East,10200.0
Uintas,1,19,2010,Skier,Facets,14.0,3600.0,Northeast,10900.0
Salt Lake,1,19,2010,Skier,New Snow/Old Snow Interface,12.0,1200.0,Northwest,9700.0
Salt Lake,1,20,2010,Skier,Unknown,24.0,7200.0,Northeast,10000.0
Salt Lake,1,20,2010,Skier,Unknown,18.0,4800.0,Northeast,10400.0
Salt Lake,1,20,2010,Natural,Facets,16.0,4800.0,North,10100.0
Salt Lake,1,20,2010,Skier,Facets,24.0,6000.0,Northwest,9800.0
Salt Lake,1,20,2010,Skier,Unknown,18.0,720.0,West,10000.0
Salt Lake,1,21,2010,Skier,Density Change,10.0,5400.0,North,9500.0
Logan,1,21,2010,Snowboarder,Facets,24.0,2400.0,North,8000.0
Salt Lake,1,21,2010,Skier,New Snow,18.0,2400.0,Northeast,9600.0
Logan,1,21,2010,Skier,Facets,24.0,2400.0,North,8000.0
Salt Lake,1,23,2010,Snowboarder,Facets,30.0,7200.0,Northwest,9200.0
Salt Lake,1,22,2010,Snowboarder,Unknown,30.0,10800.0,Northwest,9100.0
Logan,1,23,2010,Natural,Unknown,60.0,30000.0,Northeast,6000.0
Salt Lake,1,23,2010,Skier,Facets,60.0,9600.0,Northeast,9800.0
Salt Lake,1,23,2010,Skier,Unknown,24.0,600.0,Southwest,9600.0
Ogden,1,23,2010,Unknown,Unknown,10.0,120.0,Unknown,5800.0
Salt Lake,1,24,2010,Skier,Facets,36.0,9600.0,North,9600.0
Logan,1,24,2010,Natural,Unknown,30.0,4200.0,Northeast,6000.0
Logan,1,24,2010,Unknown,Facets,24.0,840.0,West,6800.0
Salt Lake,1,24,2010,Unknown,Facets,18.0,4877.728916841,East,1177.9061883621
Salt Lake,1,25,2010,Skier,Facets,36.0,12000.0,Northwest,9000.0
Salt Lake,1,25,2010,Snowboarder,Facets,36.0,2400.0,East,9900.0
Logan,1,23,2010,Natural,Facets,48.0,30000.0,Northeast,8500.0
Uintas,1,22,2010,Natural,Facets,3.0,4200.0,North,11000.0
Uintas,1,24,2010,Natural,Facets,36.0,12000.0,Northeast,9800.0
Salt Lake,1,27,2010,Skier,Facets,36.0,9600.0,Northeast,9800.0
Salt Lake,1,27,2010,Skier,Facets,42.0,9600.0,North,9200.0
Logan,1,25,2010,Unknown,Facets,48.0,1800.0,East,8400.0
Logan,1,24,2010,Natural,Facets,48.0,9600.0,North,9200.0
Salt Lake,1,23,2010,Natural,Unknown,36.0,7200.0,East,9600.0
Salt Lake,1,28,2010,Skier,Facets,36.0,12000.0,North,9100.0
Salt Lake,1,27,2010,Unknown,Unknown,6.0,240.0,Southwest,6100.0
Salt Lake,1,27,2010,Snowmobiler,Facets,48.0,4200.0,East,9600.0
Skyline,1,25,2010,Natural,Facets,36.0,15000.0,Northeast,10000.0
Salt Lake,1,28,2010,Skier,Facets,30.0,12000.0,Northeast,9500.0
Salt Lake,1,23,2010,Explosive,Facets,36.0,9600.0,Northeast,9800.0
Provo,1,29,2010,Snowmobiler,Facets,36.0,9600.0,North,10000.0
Uintas,1,24,2010,Snowmobiler,Facets,3.0,4800.0,Northeast,10100.0
Salt Lake,1,30,2010,Snowmobiler,Facets,36.0,1800.0,East,8300.0
Salt Lake,1,30,2010,Snowmobiler,Facets,24.0,3600.0,North,8100.0
Ogden,1,31,2010,Skier,New Snow/Old Snow Interface,6.0,1200.0,North,6700.0
Salt Lake,2,1,2010,Snowboarder,Facets,48.0,1800.0,North,9400.0
Logan,2,1,2010,Natural,Facets,48.0,3000.0,East,9500.0
Salt Lake,2,1,2010,Unknown,Unknown,18.0,720.0,North,5600.0
Logan,1,31,2010,Natural,Facets,54.0,27000.0,Northeast,8600.0
Logan,1,30,2010,Snowmobiler,Facets,48.0,6000.0,East,9500.0
Ogden,1,31,2010,Skier,Surface Hoar,12.0,4800.0,Northeast,7900.0
Salt Lake,2,3,2010,Skier,Unknown,36.0,480.0,Unknown,7200.0
Provo,2,5,2010,Skier,Facets,8.0,960.0,North,10300.0
Ogden,2,6,2010,Skier,Surface Hoar,20.0,3600.0,Northeast,6500.0
Salt Lake,2,6,2010,Skier,Depth Hoar,36.0,3000.0,North,9400.0
Logan,2,6,2010,Snowmobiler,Facets,36.0,7200.0,East,8900.0
Ogden,2,7,2010,Unknown,Surface Hoar,12.0,720.0,North,8000.0
Logan,2,7,2010,Unknown,Facets,24.0,2400.0,Northeast,6000.0
Salt Lake,2,7,2010,Skier,Unknown,24.0,21000.0,Northwest,9900.0
Logan,2,7,2010,Snowmobiler,Facets,48.0,9600.0,North,9400.0
Logan,2,7,2010,Snowmobiler,Facets,54.0,3000.0,Northeast,8900.0
Uintas,2,7,2010,Snowmobiler,Facets,36.0,4800.0,Northeast,10400.0
Logan,2,7,2010,Unknown,Surface Hoar,12.0,2400.0,North,8000.0
Logan,2,11,2010,Snowboarder,Surface Hoar,12.0,8400.0,North,9200.0
Salt Lake,2,12,2010,Skier,Surface Hoar,36.0,4800.0,Northeast,9000.0
Logan,2,12,2010,Unknown,Surface Hoar,12.0,5400.0,North,8600.0
Salt Lake,2,12,2010,Skier,Surface Hoar,6.0,9600.0,North,8800.0
Logan,2,12,2010,Skier,Surface Hoar,12.0,6000.0,North,8800.0
Logan,2,12,2010,Snowboarder,Surface Hoar,12.0,600.0,East,7700.0
Salt Lake,2,13,2010,Skier,Surface Hoar,16.0,7200.0,Northeast,8700.0
Salt Lake,2,13,2010,Skier,Surface Hoar,6.0,6000.0,Northeast,8300.0
Salt Lake,2,13,2010,Skier,New Snow/Old Snow Interface,8.0,2400.0,South,10400.0
Logan,2,13,2010,Skier,Surface Hoar,12.0,15000.0,North,8900.0
Salt Lake,2,13,2010,Skier,Unknown,10.0,1800.0,North,8900.0
Salt Lake,2,13,2010,Unknown,Unknown,12.0,3000.0,Northeast,9300.0
Salt Lake,2,13,2010,Snowboarder,Unknown,6.0,4200.0,North,8500.0
Salt Lake,2,13,2010,Skier,Surface Hoar,6.0,2400.0,North,9000.0
Salt Lake,2,14,2010,Skier,Surface Hoar,12.0,1200.0,North,9400.0
Salt Lake,2,14,2010,Skier,Surface Hoar,7.0,1200.0,Northeast,9600.0
Uintas,2,14,2010,Unknown,Facets,24.0,3600.0,Northeast,10400.0
Logan,2,14,2010,Skier,Surface Hoar,18.0,2400.0,Northeast,8400.0
Salt Lake,2,15,2010,Snowboarder,Unknown,18.0,3000.0,North,8700.0
Logan,2,15,2010,Skier,Surface Hoar,12.0,2400.0,Northeast,8200.0
Salt Lake,2,16,2010,Unknown,Surface Hoar,24.0,1200.0,Northeast,10100.0
Salt Lake,2,16,2010,Natural,Unknown,12.0,7200.0,Southeast,10400.0
Provo,2,17,2010,Skier,Surface Hoar,12.0,8400.0,Northeast,9700.0
Logan,2,15,2010,Snowmobiler,Surface Hoar,30.0,7200.0,North,8600.0
Logan,2,17,2010,Unknown,Unknown,8.0,600.0,North,8800.0
Salt Lake,2,19,2010,Skier,Surface Hoar,10.0,600.0,Northeast,9000.0
Uintas,2,19,2010,Snowmobiler,Depth Hoar,36.0,3600.0,Northeast,10000.0
Salt Lake,2,19,2010,Unknown,New Snow/Old Snow Interface,12.0,6000.0,North,9900.0
Uintas,2,20,2010,Natural,Unknown,12.0,4200.0,South,11400.0
Salt Lake,2,20,2010,Skier,Unknown,12.0,9600.0,Northwest,10200.0
Salt Lake,2,20,2010,Unknown,Unknown,14.0,4800.0,North,10100.0
Salt Lake,2,20,2010,Skier,Surface Hoar,15.0,1800.0,North,9200.0
Salt Lake,2,20,2010,Skier,Surface Hoar,14.0,15000.0,North,8400.0
Ogden,2,20,2010,Snowboarder,Unknown,18.0,9600.0,North,9400.0
Salt Lake,2,19,2010,Skier,Facets,15.0,3000.0,Northeast,10100.0
Salt Lake,2,21,2010,Unknown,Surface Hoar,12.0,3000.0,North,8800.0
Salt Lake,2,21,2010,Skier,Surface Hoar,24.0,1800.0,West,8600.0
Logan,2,21,2010,Snowmobiler,New Snow/Old Snow Interface,19.0,2400.0,Northeast,9400.0
Ogden,2,21,2010,Skier,New Snow/Old Snow Interface,16.0,24000.0,Northeast,8900.0
Salt Lake,2,22,2010,Skier,Surface Hoar,12.0,600.0,Northeast,8600.0
Provo,2,22,2010,Skier,Surface Hoar,18.0,3600.0,Northeast,9600.0
Salt Lake,2,22,2010,Skier,Unknown,12.0,2400.0,Northeast,8800.0
Ogden,2,22,2010,Skier,Surface Hoar,12.0,6000.0,Northeast,7800.0
Logan,2,15,2010,Natural,Surface Hoar,12.0,3000.0,North,8400.0
Logan,2,19,2010,Snowmobiler,Surface Hoar,18.0,600.0,East,8400.0
Logan,2,19,2010,Snowmobiler,Unknown,20.0,3000.0,East,9200.0
Salt Lake,2,22,2010,Skier,Surface Hoar,20.0,720.0,North,9000.0
Salt Lake,2,23,2010,Unknown,Surface Hoar,12.0,2400.0,North,9000.0
Uintas,2,23,2010,Skier,Surface Hoar,12.0,2400.0,North,10400.0
Logan,2,23,2010,Snowmobiler,Surface Hoar,12.0,2400.0,North,8700.0
Provo,2,23,2010,Unknown,Surface Hoar,14.0,9600.0,Northeast,9800.0
Salt Lake,2,24,2010,Skier,Surface Hoar,15.0,12000.0,North,8300.0
Salt Lake,2,24,2010,Skier,Surface Hoar,12.0,2400.0,North,8500.0
Salt Lake,2,24,2010,Unknown,Unknown,12.0,3600.0,Northwest,10000.0
