Date,Region,Trigger,Weak Layer,Depth_inches,Vertical_inches,Aspect,Elevation_feet,__annotations
2013-02-12,Salt Lake,Skier,New Snow/Old Snow Interface,12,240.0,Southeast,10500.0,No Annotation
2013-02-14,Skyline,Natural,New Snow,10,1800.0,Northeast,9700.0,No Annotation
2013-02-15,Uintas,Snowmobiler,New Snow/Old Snow Interface,18,3600.0,Southeast,10500.0,No Annotation
2013-02-16,Skyline,Snowmobiler,Facets,24,480.0,Northeast,10100.0,No Annotation
2013-02-17,Salt Lake,Unknown,Facets,5,8400.0,Northeast,9600.0,No Annotation
2013-02-13,Uintas,Natural,Facets,36,3600.0,Southeast,10500.0,No Annotation
2013-02-17,Skyline,Natural,Facets,24,3600.0,East,10000.0,No Annotation
2013-02-16,Salt Lake,Natural,Graupel,16,3000.0,Northwest,8500.0,No Annotation
2013-02-19,Salt Lake,Skier,Unknown,18,1800.0,Northwest,10000.0,No Annotation
2013-02-21,Uintas,Skier,Facets,16,3600.0,Northwest,10200.0,No Annotation
2013-02-24,Salt Lake,Skier,New Snow/Old Snow Interface,8,2400.0,North,8600.0,No Annotation
2013-02-24,Salt Lake,Skier,Facets,14,840.0,Northwest,9800.0,No Annotation
2013-02-23,Provo,Natural,New Snow,16,2400.0,Southeast,10400.0,No Annotation
2013-02-25,Salt Lake,Skier,New Snow/Old Snow Interface,12,1800.0,Southeast,10000.0,No Annotation
2013-02-24,Salt Lake,Snowboarder,New Snow/Old Snow Interface,10,3600.0,South,10200.0,No Annotation
2013-02-24,Salt Lake,Skier,Facets,14,1800.0,Northwest,9800.0,No Annotation
2013-02-28,Salt Lake,Natural,Facets,16,4800.0,Northeast,10600.0,No Annotation
2013-02-26,Salt Lake,Skier,Facets,12,1200.0,North,8900.0,No Annotation
2013-03-01,Skyline,Snowmobiler,Facets,24,3000.0,Northeast,10400.0,No Annotation
2013-03-02,Salt Lake,Snowboarder,Facets,24,3600.0,Northeast,9400.0,No Annotation
2013-03-02,Provo,Natural,Facets,8,9600.0,Northwest,6000.0,No Annotation
2013-03-02,Provo,Natural,Wet grains,8,15000.0,Southeast,10100.0,No Annotation
2013-03-03,Salt Lake,Skier,Density Change,8,2100.0,Northwest,9800.0,No Annotation
2013-03-03,Provo,Natural,New Snow/Old Snow Interface,24,18000.0,Southeast,10000.0,No Annotation
2013-03-03,Provo,Natural,Unknown,10,18000.0,Southeast,10400.0,No Annotation
2013-03-03,Provo,Natural,Facets,10,6000.0,Northeast,6000.0,No Annotation
2013-03-04,Salt Lake,Skier,New Snow/Old Snow Interface,8,7200.0,North,10200.0,No Annotation
2013-03-04,Provo,Natural,Density Change,12,18000.0,Southeast,10100.0,No Annotation
2013-03-04,Salt Lake,Unknown,Unknown,8,3000.0,East,10000.0,No Annotation
2013-03-05,Salt Lake,Skier,New Snow/Old Snow Interface,10,6000.0,North,10800.0,No Annotation
2013-03-04,Salt Lake,Skier,Facets,30,4200.0,Northwest,7300.0,No Annotation
2013-03-09,Salt Lake,Skier,Density Change,5,4800.0,South,9800.0,No Annotation
2013-03-10,Salt Lake,Skier,Density Change,4,10800.0,South,10700.0,No Annotation
2013-03-10,Salt Lake,Skier,New Snow,6,4200.0,East,10100.0,No Annotation
2013-03-10,Salt Lake,Unknown,New Snow/Old Snow Interface,15,1800.0,East,9500.0,No Annotation
2013-03-11,Salt Lake,Skier,New Snow/Old Snow Interface,6,3000.0,North,10000.0,No Annotation
2013-03-10,Moab,Natural,New Snow,36,9600.0,Southwest,11800.0,No Annotation
2013-03-12,Logan,Snowmobiler,Facets,12,1500.0,West,6500.0,No Annotation
2013-03-13,Provo,Skier,Wet grains,6,21000.0,Southeast,10500.0,No Annotation
2013-03-13,Logan,Natural,Ground Interface,18,8400.0,West,7600.0,No Annotation
2013-03-15,Salt Lake,Natural,Wet grains,36,8400.0,East,9900.0,No Annotation
2013-03-14,Logan,Natural,Unknown,24,9600.0,West,7600.0,No Annotation
2013-03-18,Uintas,Skier,Facets,30,12000.0,Northeast,10800.0,No Annotation
2013-03-15,Uintas,Natural,Depth Hoar,36,2400.0,Northeast,9800.0,No Annotation
2013-03-20,Salt Lake,Skier,New Snow,8,4800.0,North,10100.0,No Annotation
2013-03-21,Salt Lake,Skier,Density Change,10,4200.0,Northeast,10200.0,No Annotation
2013-03-21,Logan,Skier,New Snow/Old Snow Interface,12,2400.0,East,9000.0,No Annotation
2013-03-21,Salt Lake,Natural,Graupel,10,1200.0,Northwest,10500.0,No Annotation
2013-03-23,Provo,Snow Bike,New Snow/Old Snow Interface,4,3600.0,Southeast,9500.0,No Annotation
2013-03-23,Salt Lake,Skier,New Snow,12,9600.0,Northeast,10100.0,No Annotation
2013-03-23,Salt Lake,Skier,New Snow,9,4800.0,Northeast,10100.0,No Annotation
2013-03-21,Salt Lake,Natural,New Snow/Old Snow Interface,20,18000.0,Northeast,10600.0,No Annotation
2013-03-23,Logan,Snowboarder,New Snow/Old Snow Interface,16,1200.0,Northeast,9100.0,No Annotation
2013-03-23,Salt Lake,Skier,New Snow,6,7200.0,Northeast,10200.0,No Annotation
2013-03-23,Salt Lake,Skier,Facets,20,2400.0,Northeast,10200.0,No Annotation
2013-03-23,Salt Lake,Skier,New Snow/Old Snow Interface,10,2400.0,East,8800.0,No Annotation
2013-03-24,Salt Lake,Skier,New Snow,15,8400.0,Northeast,9600.0,No Annotation
2013-03-24,Provo,Skier,New Snow/Old Snow Interface,15,1800.0,Southeast,9100.0,No Annotation
2013-03-23,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,3000.0,North,9800.0,No Annotation
2013-03-24,Salt Lake,Skier,New Snow/Old Snow Interface,21,4800.0,North,9500.0,No Annotation
2013-03-25,Salt Lake,Skier,New Snow/Old Snow Interface,18,21000.0,Southeast,10800.0,No Annotation
2013-03-25,Moab,Snowmobiler,Facets,48,2400.0,North,9800.0,No Annotation
2013-04-02,Uintas,Natural,New Snow/Old Snow Interface,10,1800.0,Northeast,10200.0,No Annotation
2013-04-03,Uintas,Natural,Depth Hoar,48,4800.0,Northeast,10600.0,No Annotation
2013-04-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,10,4200.0,Northeast,10500.0,No Annotation
2013-04-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,9,480.0,Southeast,9500.0,No Annotation
2013-04-10,Salt Lake,Skier,New Snow/Old Snow Interface,10,7200.0,East,9800.0,No Annotation
2013-04-11,Salt Lake,Skier,New Snow/Old Snow Interface,8,18000.0,East,9900.0,No Annotation
2013-04-11,Uintas,Natural,Facets,60,9600.0,North,11000.0,No Annotation
2013-04-18,Skyline,Natural,New Snow,1,3600.0,Southeast,10500.0,No Annotation
2013-04-20,Salt Lake,Skier,New Snow/Old Snow Interface,10,3600.0,East,10300.0,No Annotation
2013-04-20,Salt Lake,Natural,Density Change,14,4200.0,Northeast,10400.0,No Annotation
2013-04-20,Salt Lake,Natural,New Snow,6,1800.0,Northeast,9800.0,No Annotation
2013-04-21,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,12000.0,East,10400.0,No Annotation
2013-04-21,Salt Lake,Skier,New Snow/Old Snow Interface,8,5400.0,South,10000.0,No Annotation
2013-04-21,Salt Lake,Natural,Wet grains,6,24000.0,East,11000.0,No Annotation
2013-04-27,Logan,Natural,New Snow,7,12000.0,East,11200.0,No Annotation
2013-05-05,Salt Lake,Natural,Wet grains,18,8400.0,Southwest,11000.0,No Annotation
2010-01-01,Salt Lake,Skier,Unknown,18,4800.0,Northeast,9500.0,No Annotation
2010-01-02,Ogden,Skier,Unknown,12,3600.0,Northeast,8500.0,No Annotation
2010-01-02,Salt Lake,Snowboarder,New Snow/Old Snow Interface,20,12000.0,Northeast,9500.0,No Annotation
2010-01-02,Logan,Snowmobiler,Facets,18,1500.0,East,8700.0,No Annotation
2010-01-02,Logan,Skier,Facets,10,21000.0,Northeast,8900.0,No Annotation
2010-01-02,Ogden,Snowboarder,Facets,10,2400.0,Northeast,8000.0,No Annotation
2010-01-03,Provo,Skier,Facets,24,3600.0,Northeast,10000.0,No Annotation
2010-01-03,Provo,Skier,Facets,12,3600.0,East,9900.0,No Annotation
2010-01-03,Logan,Snowmobiler,Facets,24,3000.0,North,8800.0,No Annotation
2010-01-05,Salt Lake,Unknown,Facets,12,360.0,Northwest,9100.0,No Annotation
2010-01-03,Logan,Skier,Facets,15,6000.0,North,8700.0,No Annotation
2010-01-06,Salt Lake,Snowboarder,Unknown,20,7200.0,North,9600.0,No Annotation
2010-01-07,Salt Lake,Skier,Unknown,24,4800.0,Northeast,10200.0,No Annotation
2010-01-01,Logan,Natural,Facets,24,2100.0,Northeast,9300.0,No Annotation
2010-01-01,Logan,Natural,Facets,36,9600.0,Northeast,9600.0,No Annotation
2010-01-10,Salt Lake,Skier,Unknown,12,3600.0,South,9300.0,No Annotation
2010-01-07,Logan,Natural,Facets,18,6000.0,Northeast,9000.0,No Annotation
2010-01-18,Salt Lake,Skier,Unknown,18,7200.0,Northwest,9700.0,No Annotation
2010-01-19,Salt Lake,Skier,Facets,30,3600.0,North,9300.0,No Annotation
2010-01-19,Salt Lake,Skier,Density Change,20,6000.0,East,10200.0,No Annotation
2010-01-19,Uintas,Skier,Facets,14,3600.0,Northeast,10900.0,No Annotation
2010-01-19,Salt Lake,Skier,New Snow/Old Snow Interface,12,1200.0,Northwest,9700.0,No Annotation
2010-01-20,Salt Lake,Skier,Unknown,24,7200.0,Northeast,10000.0,No Annotation
2010-01-20,Salt Lake,Skier,Unknown,18,4800.0,Northeast,10400.0,No Annotation
2010-01-20,Salt Lake,Natural,Facets,16,4800.0,North,10100.0,No Annotation
2010-01-20,Salt Lake,Skier,Facets,24,6000.0,Northwest,9800.0,No Annotation
2010-01-20,Salt Lake,Skier,Unknown,18,720.0,West,10000.0,No Annotation
2010-01-21,Salt Lake,Skier,Density Change,10,5400.0,North,9500.0,No Annotation
2010-01-21,Logan,Snowboarder,Facets,24,2400.0,North,8000.0,No Annotation
2010-01-21,Salt Lake,Skier,New Snow,18,2400.0,Northeast,9600.0,No Annotation
2010-01-21,Logan,Skier,Facets,24,2400.0,North,8000.0,No Annotation
2010-01-23,Salt Lake,Snowboarder,Facets,30,7200.0,Northwest,9200.0,No Annotation
2010-01-22,Salt Lake,Snowboarder,Unknown,30,10800.0,Northwest,9100.0,No Annotation
2010-01-23,Logan,Natural,Unknown,60,30000.0,Northeast,6000.0,No Annotation
2010-01-23,Salt Lake,Skier,Facets,60,9600.0,Northeast,9800.0,No Annotation
2010-01-23,Salt Lake,Skier,Unknown,24,600.0,Southwest,9600.0,No Annotation
2010-01-23,Ogden,Unknown,Unknown,10,120.0,Unknown,5800.0,No Annotation
2010-01-24,Salt Lake,Skier,Facets,36,9600.0,North,9600.0,No Annotation
2010-01-24,Logan,Natural,Unknown,30,4200.0,Northeast,6000.0,No Annotation
2010-01-24,Logan,Unknown,Facets,24,840.0,West,6800.0,No Annotation
2010-01-25,Salt Lake,Skier,Facets,36,12000.0,Northwest,9000.0,No Annotation
2010-01-25,Salt Lake,Snowboarder,Facets,36,2400.0,East,9900.0,No Annotation
2010-01-23,Logan,Natural,Facets,48,30000.0,Northeast,8500.0,No Annotation
2010-01-22,Uintas,Natural,Facets,3,4200.0,North,11000.0,No Annotation
2010-01-24,Uintas,Natural,Facets,36,12000.0,Northeast,9800.0,No Annotation
2010-01-27,Salt Lake,Skier,Facets,36,9600.0,Northeast,9800.0,No Annotation
2010-01-27,Salt Lake,Skier,Facets,42,9600.0,North,9200.0,No Annotation
2010-01-25,Logan,Unknown,Facets,48,1800.0,East,8400.0,No Annotation
2010-01-24,Logan,Natural,Facets,48,9600.0,North,9200.0,No Annotation
2010-01-23,Salt Lake,Natural,Unknown,36,7200.0,East,9600.0,No Annotation
2010-01-28,Salt Lake,Skier,Facets,36,12000.0,North,9100.0,No Annotation
2010-01-27,Salt Lake,Unknown,Unknown,6,240.0,Southwest,6100.0,No Annotation
2010-01-27,Salt Lake,Snowmobiler,Facets,48,4200.0,East,9600.0,No Annotation
2010-01-25,Skyline,Natural,Facets,36,15000.0,Northeast,10000.0,No Annotation
2010-01-28,Salt Lake,Skier,Facets,30,12000.0,Northeast,9500.0,No Annotation
2010-01-23,Salt Lake,Explosive,Facets,36,9600.0,Northeast,9800.0,No Annotation
2010-01-29,Provo,Snowmobiler,Facets,36,9600.0,North,10000.0,No Annotation
2010-01-24,Uintas,Snowmobiler,Facets,3,4800.0,Northeast,10100.0,No Annotation
2010-01-30,Salt Lake,Snowmobiler,Facets,36,1800.0,East,8300.0,No Annotation
2010-01-30,Salt Lake,Snowmobiler,Facets,24,3600.0,North,8100.0,No Annotation
2010-01-31,Ogden,Skier,New Snow/Old Snow Interface,6,1200.0,North,6700.0,No Annotation
2010-02-01,Salt Lake,Snowboarder,Facets,48,1800.0,North,9400.0,No Annotation
2010-02-01,Logan,Natural,Facets,48,3000.0,East,9500.0,No Annotation
2010-02-01,Salt Lake,Unknown,Unknown,18,720.0,North,5600.0,No Annotation
2010-01-31,Logan,Natural,Facets,54,27000.0,Northeast,8600.0,No Annotation
2010-01-30,Logan,Snowmobiler,Facets,48,6000.0,East,9500.0,No Annotation
2010-01-31,Ogden,Skier,Surface Hoar,12,4800.0,Northeast,7900.0,No Annotation
2010-02-03,Salt Lake,Skier,Unknown,36,480.0,Unknown,7200.0,No Annotation
2010-02-05,Provo,Skier,Facets,8,960.0,North,10300.0,No Annotation
2010-02-06,Ogden,Skier,Surface Hoar,20,3600.0,Northeast,6500.0,No Annotation
2010-02-06,Salt Lake,Skier,Depth Hoar,36,3000.0,North,9400.0,No Annotation
2010-02-06,Logan,Snowmobiler,Facets,36,7200.0,East,8900.0,No Annotation
2010-02-07,Ogden,Unknown,Surface Hoar,12,720.0,North,8000.0,No Annotation
2010-02-07,Logan,Unknown,Facets,24,2400.0,Northeast,6000.0,No Annotation
2010-02-07,Salt Lake,Skier,Unknown,24,21000.0,Northwest,9900.0,No Annotation
2010-02-07,Logan,Snowmobiler,Facets,48,9600.0,North,9400.0,No Annotation
2010-02-07,Logan,Snowmobiler,Facets,54,3000.0,Northeast,8900.0,No Annotation
2010-02-07,Uintas,Snowmobiler,Facets,36,4800.0,Northeast,10400.0,No Annotation
2010-02-07,Logan,Unknown,Surface Hoar,12,2400.0,North,8000.0,No Annotation
2010-02-11,Logan,Snowboarder,Surface Hoar,12,8400.0,North,9200.0,No Annotation
2010-02-12,Salt Lake,Skier,Surface Hoar,36,4800.0,Northeast,9000.0,No Annotation
2010-02-12,Logan,Unknown,Surface Hoar,12,5400.0,North,8600.0,No Annotation
2010-02-12,Salt Lake,Skier,Surface Hoar,6,9600.0,North,8800.0,No Annotation
2010-02-12,Logan,Skier,Surface Hoar,12,6000.0,North,8800.0,No Annotation
2010-02-12,Logan,Snowboarder,Surface Hoar,12,600.0,East,7700.0,No Annotation
2010-02-13,Salt Lake,Skier,Surface Hoar,16,7200.0,Northeast,8700.0,No Annotation
2010-02-13,Salt Lake,Skier,Surface Hoar,6,6000.0,Northeast,8300.0,No Annotation
2010-02-13,Salt Lake,Skier,New Snow/Old Snow Interface,8,2400.0,South,10400.0,No Annotation
2010-02-13,Logan,Skier,Surface Hoar,12,15000.0,North,8900.0,No Annotation
2010-02-13,Salt Lake,Skier,Unknown,10,1800.0,North,8900.0,No Annotation
2010-02-13,Salt Lake,Unknown,Unknown,12,3000.0,Northeast,9300.0,No Annotation
2010-02-13,Salt Lake,Snowboarder,Unknown,6,4200.0,North,8500.0,No Annotation
2010-02-13,Salt Lake,Skier,Surface Hoar,6,2400.0,North,9000.0,No Annotation
2010-02-14,Salt Lake,Skier,Surface Hoar,12,1200.0,North,9400.0,No Annotation
2010-02-14,Salt Lake,Skier,Surface Hoar,7,1200.0,Northeast,9600.0,No Annotation
2010-02-14,Uintas,Unknown,Facets,24,3600.0,Northeast,10400.0,No Annotation
2010-02-14,Logan,Skier,Surface Hoar,18,2400.0,Northeast,8400.0,No Annotation
2010-02-15,Salt Lake,Snowboarder,Unknown,18,3000.0,North,8700.0,No Annotation
2010-02-15,Logan,Skier,Surface Hoar,12,2400.0,Northeast,8200.0,No Annotation
2010-02-16,Salt Lake,Unknown,Surface Hoar,24,1200.0,Northeast,10100.0,No Annotation
2010-02-16,Salt Lake,Natural,Unknown,12,7200.0,Southeast,10400.0,No Annotation
2010-02-17,Provo,Skier,Surface Hoar,12,8400.0,Northeast,9700.0,No Annotation
2010-02-15,Logan,Snowmobiler,Surface Hoar,30,7200.0,North,8600.0,No Annotation
2010-02-17,Logan,Unknown,Unknown,8,600.0,North,8800.0,No Annotation
2010-02-19,Salt Lake,Skier,Surface Hoar,10,600.0,Northeast,9000.0,No Annotation
2010-02-19,Uintas,Snowmobiler,Depth Hoar,36,3600.0,Northeast,10000.0,No Annotation
2010-02-19,Salt Lake,Unknown,New Snow/Old Snow Interface,12,6000.0,North,9900.0,No Annotation
2010-02-20,Uintas,Natural,Unknown,12,4200.0,South,11400.0,No Annotation
2010-02-20,Salt Lake,Skier,Unknown,12,9600.0,Northwest,10200.0,No Annotation
2010-02-20,Salt Lake,Unknown,Unknown,14,4800.0,North,10100.0,No Annotation
2010-02-20,Salt Lake,Skier,Surface Hoar,15,1800.0,North,9200.0,No Annotation
2010-02-20,Salt Lake,Skier,Surface Hoar,14,15000.0,North,8400.0,No Annotation
2010-02-20,Ogden,Snowboarder,Unknown,18,9600.0,North,9400.0,No Annotation
2010-02-19,Salt Lake,Skier,Facets,15,3000.0,Northeast,10100.0,No Annotation
2010-02-21,Salt Lake,Unknown,Surface Hoar,12,3000.0,North,8800.0,No Annotation
2010-02-21,Salt Lake,Skier,Surface Hoar,24,1800.0,West,8600.0,No Annotation
2010-02-21,Logan,Snowmobiler,New Snow/Old Snow Interface,19,2400.0,Northeast,9400.0,No Annotation
2010-02-21,Ogden,Skier,New Snow/Old Snow Interface,16,24000.0,Northeast,8900.0,No Annotation
2010-02-22,Salt Lake,Skier,Surface Hoar,12,600.0,Northeast,8600.0,No Annotation
2010-02-22,Provo,Skier,Surface Hoar,18,3600.0,Northeast,9600.0,No Annotation
2010-02-22,Salt Lake,Skier,Unknown,12,2400.0,Northeast,8800.0,No Annotation
2010-02-22,Ogden,Skier,Surface Hoar,12,6000.0,Northeast,7800.0,No Annotation
2010-02-15,Logan,Natural,Surface Hoar,12,3000.0,North,8400.0,No Annotation
2010-02-19,Logan,Snowmobiler,Surface Hoar,18,600.0,East,8400.0,No Annotation
2010-02-19,Logan,Snowmobiler,Unknown,20,3000.0,East,9200.0,No Annotation
2010-02-22,Salt Lake,Skier,Surface Hoar,20,720.0,North,9000.0,No Annotation
2010-02-23,Salt Lake,Unknown,Surface Hoar,12,2400.0,North,9000.0,No Annotation
2010-02-23,Uintas,Skier,Surface Hoar,12,2400.0,North,10400.0,No Annotation
2010-02-23,Logan,Snowmobiler,Surface Hoar,12,2400.0,North,8700.0,No Annotation
2010-02-23,Provo,Unknown,Surface Hoar,14,9600.0,Northeast,9800.0,No Annotation
2010-02-24,Salt Lake,Skier,Surface Hoar,15,12000.0,North,8300.0,No Annotation
2010-02-24,Salt Lake,Skier,Surface Hoar,12,2400.0,North,8500.0,No Annotation
2010-02-24,Salt Lake,Unknown,Unknown,12,3600.0,Northwest,10000.0,No Annotation
2010-02-25,Salt Lake,Skier,Surface Hoar,12,18000.0,Northwest,9700.0,No Annotation
2010-02-25,Salt Lake,Unknown,Surface Hoar,20,600.0,West,9200.0,No Annotation
