Title,Handheld?,Max Players,Multiplatform?,Online?,Genres,Licensed?,Publishers,Sequel,Review Score,Sales,Used Price,Console,Rating,Re-release?,Year,CT_All,CT_Comp,CT_MainExtra,CT_MainOnly
Grand Theft Auto: Liberty City Stories,True,1,True,True,Action,True,"Capcom,Rockstar",True,88,2.97,17.95,Sony PSP,E,True,2005,14.97,47.23,20.0,13.85
Animal Crossing: Wild World,True,1,True,True,Simulation,True,Nintendo,True,86,2.6,24.95,Nintendo DS,T,True,2005,80.53,314.67,180.0,70.0
Big Brain Academy,True,1,True,True,Action,True,Nintendo,True,74,1.77,16.95,Nintendo DS,E,True,2005,7.13,15.0,8.07,5.12
Call of Duty 2,True,4,True,True,Action,True,"Activision,Konami",True,89,1.69,17.95,X360,E,True,2005,9.0,11.18,10.0,8.98
Midnight Club 3: DUB Edition,True,1,True,True,Racing / Driving,True,Rockstar,True,74,1.69,14.95,Sony PSP,T,True,2005,48.0,48.75,49.0,19.5
Need for Speed: Most Wanted 5-1-0,True,1,True,True,Racing / Driving,True,EA,True,72,1.67,14.95,Sony PSP,M,True,2005,10.33,-100.0,9.83,12.17
Pokmon Mystery Dungeon: Blue Rescue Team,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,62,1.22,14.95,Nintendo DS,T,True,2005,25.62,90.0,38.5,23.05
Sonic Rush,True,1,True,True,Action,True,Sega,True,82,1.2,14.95,Nintendo DS,E,True,2005,6.22,16.0,10.0,5.0
Star Wars: Battlefront II,True,1,True,True,Action,True,Unknown,True,69,1.09,16.95,Sony PSP,E,True,2005,9.0,35.37,13.35,8.0
SOCOM: U.S. Navy SEALs - Fireteam Bravo,True,1,True,True,Action,True,Sony,True,82,1.07,14.95,Sony PSP,E,True,2005,8.58,-100.0,-100.0,8.58
Need for Speed: Most Wanted,True,2,True,True,Racing / Driving,True,EA,True,83,0.95,17.95,X360,E,True,2005,12.0,30.0,14.0,10.0
Zoo Tycoon DS,True,1,True,True,Simulation,True,THQ,True,44,0.92,12.95,Nintendo DS,T,True,2005,-100.0,-100.0,-100.0,-100.0
The Sims 2,True,1P,True,True,Role-Playing (RPG),True,EA,True,70,0.8300000000000001,17.95,Nintendo DS,M,True,2005,34.92,200.0,60.0,30.98
Mario & Luigi: Partners in Time,True,1,True,True,Action,True,Nintendo,True,86,0.75,29.95,Nintendo DS,E,True,2005,18.65,40.0,19.03,18.02
Madden NFL 06,True,1,True,True,Sports,True,EA,True,75,0.75,7.95,Sony PSP,E,True,2005,3.75,3.75,-100.0,-100.0
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,0.73,17.95,Sony PSP,E,True,2005,20.47,27.57,-100.0,12.0
Twisted Metal: Head-On,True,1,True,True,Action,True,Sony,True,79,0.73,14.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Perfect Dark Zero,True,4,True,True,Action,True,Microsoft,True,79,0.7000000000000001,17.95,X360,E,True,2005,8.0,28.85,10.0,8.0
Super Monkey Ball: Touch & Roll,True,1,True,True,Action,True,Sega,True,63,0.7000000000000001,15.95,Nintendo DS,T,True,2005,0.5700000000000001,-100.0,3.55,0.47
Super Princess Peach,True,1,True,True,Action,True,Nintendo,True,75,0.7000000000000001,29.95,Nintendo DS,T,True,2005,9.28,17.78,9.25,7.0
Burnout Legends,True,1,True,True,Action,True,EA,True,86,0.68,14.95,Sony PSP,T,True,2005,12.0,16.25,12.0,7.0
Madden NFL 06,True,2,True,True,Sports,True,EA,True,74,0.62,4.95,X360,E,True,2005,3.75,3.75,-100.0,-100.0
Clubhouse Games,True,1,True,True,Strategy,True,Nintendo,True,83,0.61,17.95,Nintendo DS,E,True,2005,20.0,20.0,-100.0,-100.0
ATV Offroad Fury: Blazin' Trails,True,4,True,True,Racing / Driving,True,Sony,True,63,0.56,12.95,Sony PSP,T,True,2005,-100.0,-100.0,-100.0,-100.0
Untold Legends: Brotherhood of the Blade,True,1,True,True,Action,True,"Activision,Sony",True,68,0.56,12.95,Sony PSP,M,True,2005,21.0,-100.0,22.0,20.0
Tony Hawk's Underground 2: Remix,True,1,True,True,Sports,True,Activision,True,83,0.49,14.95,Sony PSP,T,True,2005,23.45,23.45,-100.0,-100.0
The Sims 2,True,1,True,True,Simulation,True,EA,True,65,0.46,14.95,Sony PSP,T,True,2005,34.92,200.0,60.0,30.98
WipEout Pure,True,1,True,True,Action,True,Sony,True,88,0.45,12.95,Sony PSP,E,True,2005,8.8,-100.0,12.0,6.0
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,0.42,9.95,Sony PSP,E,True,2005,4.0,-100.0,-100.0,4.0
WWE Smackdown vs. Raw 2006,True,4,True,True,Action,True,THQ,True,81,0.38,14.95,Sony PSP,T,True,2005,9.42,31.48,31.0,8.0
Dead or Alive 4,True,4,True,True,Action,True,Unknown,True,85,0.38,17.95,X360,E,True,2005,6.0,97.5,10.0,3.85
Phoenix Wright: Ace Attorney,True,1,True,True,Adventure,True,Capcom,True,81,0.38,24.95,Nintendo DS,E,True,2005,19.05,21.17,23.0,16.27
Spider-Man 2,True,1,True,True,Action,True,Activision,True,67,0.38,14.95,Sony PSP,M,True,2005,10.0,72.57,12.5,8.0
NFL Street 2,True,4,True,True,Sports,True,EA,True,73,0.37,17.95,Sony PSP,T,True,2005,-100.0,-100.0,-100.0,-100.0
Kirby: Canvas Curse,True,1,True,True,Action,True,Nintendo,True,86,0.37,17.95,Nintendo DS,T,True,2005,5.67,15.97,9.5,4.8
Battlefield 2: Modern Combat,True,4,True,True,Action,True,EA,True,77,0.36,16.95,X360,E,True,2005,6.93,-100.0,9.07,6.67
Yoshi Touch & Go,True,1,True,True,Action,True,Nintendo,True,73,0.36,17.95,Nintendo DS,T,True,2005,4.5,-100.0,6.0,3.0
Tiger Woods PGA Tour 06,True,4,True,True,Sports,True,EA,True,71,0.33,9.95,X360,T,True,2005,-100.0,-100.0,-100.0,-100.0
Condemned: Criminal Origins,True,1,True,True,Action,True,Sega,True,81,0.33,14.95,X360,E,True,2005,7.55,15.0,9.0,7.0
Peter Jackson's King Kong: The Official Game of...,True,2,True,True,Action,True,Ubisoft,True,80,0.32,14.95,X360,T,True,2005,7.0,8.0,6.57,7.0
Castlevania: Dawn of Sorrow,True,1,True,True,Action,True,Konami,True,89,0.31,17.95,Nintendo DS,T,True,2005,13.0,26.0,14.0,10.42
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,67,0.31,13.95,Nintendo DS,E,True,2005,11.85,15.7,-100.0,8.0
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,58,0.31,17.95,Sony PSP,T,True,2005,4.58,-100.0,7.5,4.17
Kameo: Elements of Power,True,1,True,True,Action,True,Microsoft,True,79,0.31,11.95,X360,T,True,2005,10.2,17.0,11.0,8.95
Advance Wars: Dual Strike,True,1,True,True,Strategy,True,Nintendo,True,90,0.3,17.95,Nintendo DS,T,True,2005,27.83,250.0,63.83,23.57
Trauma Center: Under the Knife,True,1,True,True,Action,True,Nintendo,True,81,0.3,15.95,Nintendo DS,T,True,2005,8.27,7.22,12.0,8.0
Coded Arms,True,1,True,True,Action,True,Konami,True,59,0.3,12.95,Sony PSP,M,True,2005,6.0,-100.0,9.72,4.82
NBA LIVE 06 ,True,1,True,True,Sports,True,EA,True,64,0.29,4.95,X360,E,True,2005,4.0,-100.0,-100.0,4.0
Tony Hawk's American Wasteland,True,1,True,True,Sports,True,Activision,True,75,0.29,14.95,X360,E,True,2005,13.0,15.0,13.0,12.0
Star Wars: Episode III - Revenge of the Sith,True,1,True,True,Action,True,Ubisoft,True,73,0.28,16.95,Nintendo DS,E,True,2005,5.0,6.5,5.55,5.0
Capcom Classics Collection Remixed,True,1,True,True,Action,True,Capcom,True,72,0.28,17.95,Sony PSP,E,True,2005,35.67,-100.0,35.67,-100.0
Madagascar,True,1,True,True,Adventure,True,Activision,True,66,0.27,14.95,Nintendo DS,E,True,2005,6.0,-100.0,10.0,5.0
X-Men: Legends II - Rise of Apocalypse,True,1,True,True,Action,True,Activision,True,84,0.27,17.95,Sony PSP,M,True,2005,22.0,23.57,22.0,22.0
Quake 4,True,1,True,True,Action,True,Activision,True,75,0.27,14.95,X360,E,True,2005,8.45,13.0,10.03,8.0
Pokmon Trozei!,True,1,True,True,Strategy,True,Nintendo,True,74,0.26,19.95,Nintendo DS,E,True,2005,2.93,-100.0,-100.0,2.93
Need for Speed: Most Wanted,True,1,True,True,Racing / Driving,True,EA,True,45,0.25,15.95,Nintendo DS,E,True,2005,12.0,30.0,14.0,10.0
Mega Man Maverick Hunter X,True,1,True,True,Action,True,Capcom,True,79,0.25,17.95,Sony PSP,E,True,2005,5.68,7.67,7.0,4.0
Metroid Prime Pinball,True,1,True,True,Action,True,Nintendo,True,79,0.22,17.95,Nintendo DS,E,True,2005,5.0,9.0,5.0,2.77
NBA 06,True,1,True,True,Sports,True,Sony,True,72,0.22,9.95,Sony PSP,E,True,2005,4.0,-100.0,-100.0,4.0
GUN ,True,1,True,True,Action,True,Activision,True,75,0.22,19.95,X360,E,True,2005,8.0,13.25,8.52,6.0
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,0.22,4.95,X360,E,True,2005,0.53,0.53,-100.0,-100.0
Pinball Hall of Fame: The Gottlieb Collection,True,4,True,True,Action,True,Unknown,True,73,0.21,9.95,Sony PSP,T,True,2005,-100.0,-100.0,-100.0,-100.0
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,68,0.21,17.95,Nintendo DS,T,True,2005,8.82,15.0,15.28,8.0
Tony Hawk's American Sk8land,True,1,True,True,Sports,True,Activision,True,84,0.21,16.95,Nintendo DS,E,True,2005,20.0,-100.0,20.0,-100.0
MVP Baseball,True,1,True,True,Sports,True,EA,True,67,0.21,4.95,Sony PSP,M,True,2005,-100.0,-100.0,-100.0,-100.0
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,0.21,17.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
World Series of Poker,True,1,True,True,Sports,True,Activision,True,37,0.21,14.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
SSX on Tour,True,1,True,True,Sports,True,EA,True,79,0.2,16.95,Sony PSP,E,True,2005,15.5,-100.0,15.5,-100.0
Tiger Woods PGA Tour 06,True,1,True,True,Sports,True,EA,True,80,0.2,9.95,Sony PSP,T,True,2005,-100.0,-100.0,-100.0,-100.0
Death Jr.,True,1,True,True,Action,True,Konami,True,61,0.19,9.95,Sony PSP,M,True,2005,3.53,-100.0,-100.0,3.53
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,70,0.19,17.95,Sony PSP,T,True,2005,8.82,15.0,15.28,8.0
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,0.19,17.95,Sony PSP,T,True,2005,9.72,10.43,-100.0,9.0
"The Chronicles of Narnia: The Lion, the Witch a...",True,1,True,True,Action,True,Unknown,True,65,0.18,12.95,Nintendo DS,T,True,2005,2.67,-100.0,8.0,2.45
Shrek SuperSlam,True,1,True,True,Action,True,Activision,True,56,0.18,11.95,Nintendo DS,E,True,2005,1.5,-100.0,-100.0,1.5
Virtua Tennis: World Tour,True,1,True,True,Sports,True,Sega,True,84,0.18,14.95,Sony PSP,M,True,2005,-100.0,-100.0,-100.0,-100.0
Prince of Persia: Revelations,True,1,True,True,Action,True,Ubisoft,True,65,0.17,6.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Burnout Legends,True,1,True,True,Action,True,EA,True,38,0.16,17.95,Nintendo DS,E,True,2005,12.0,16.25,12.0,7.0
Meteos,True,1,True,True,Strategy,True,Nintendo,True,88,0.16,15.95,Nintendo DS,E,True,2005,14.1,23.75,21.22,7.5
Spyro: Shadow Legacy,True,1,True,True,Role-Playing (RPG),True,Unknown,True,50,0.15,17.95,Nintendo DS,E,True,2005,4.5,6.0,5.0,2.52
The Con,True,1,True,True,Action,True,Sony,True,63,0.15,8.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Infected,True,1,True,True,Action,True,Unknown,True,74,0.15,17.95,Sony PSP,E,True,2005,6.67,-100.0,-100.0,6.67
Pursuit Force,True,1,True,True,Action,True,Sony,True,75,0.14,14.95,Sony PSP,M,True,2005,10.0,-100.0,10.0,10.0
Kingdom of Paradise,True,2,True,True,Action,True,Sony,True,72,0.13,12.95,Sony PSP,E,True,2005,23.0,-100.0,23.0,-100.0
Dragon Ball Z: Supersonic Warriors 2,True,1,True,True,Action,True,Atari,True,66,0.13,22.95,Nintendo DS,E,True,2005,14.7,15.0,14.25,14.97
Dragon Quest Heroes: Rocket Slime,True,1,True,True,Action,True,SquareEnix,True,83,0.13,12.95,Nintendo DS,T,True,2005,13.37,25.0,15.0,12.17
Dead to Rights: Reckoning,True,1,True,True,Action,True,Namco,True,54,0.13,14.95,Sony PSP,E,True,2005,2.92,5.0,-100.0,2.15
Amped 3,True,1,True,True,Sports,True,2K,True,72,0.13,14.95,X360,E,True,2005,9.0,9.0,10.58,6.67
Break 'em All,True,1,True,True,Action,True,Unknown,True,68,0.12,17.95,Nintendo DS,T,True,2005,-100.0,-100.0,-100.0,-100.0
Lunar: Dragon Song,True,1,True,True,Role-Playing (RPG),True,Ubisoft,True,59,0.12,14.95,Nintendo DS,M,True,2005,24.67,24.72,-100.0,19.85
Madden NFL 06,True,1,True,True,Sports,True,EA,True,66,0.12,9.95,Nintendo DS,E,True,2005,3.75,3.75,-100.0,-100.0
Retro Atari Classics,True,1,True,True,Action,True,Atari,True,51,0.12,12.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
True Swing Golf,True,1,True,True,Sports,True,Nintendo,True,66,0.12,14.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
FIFA Soccer,True,1,True,True,Sports,True,EA,True,73,0.12,14.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Metal Gear Ac!d 2,True,1,True,True,Strategy,True,Konami,True,80,0.12,12.95,Sony PSP,E,True,2005,15.0,-100.0,16.0,14.2
ATV Quad Frenzy,True,1,True,True,Racing / Driving,True,Unknown,True,35,0.11,14.95,Nintendo DS,T,True,2005,-100.0,-100.0,-100.0,-100.0
Bomberman,True,1,True,True,Strategy,True,Ubisoft,True,75,0.11,17.95,Nintendo DS,E,True,2005,3.2,-100.0,-100.0,3.2
GoldenEye: Rogue Agent,True,1,True,True,Action,True,EA,True,58,0.11,14.95,Nintendo DS,T,True,2005,8.5,-100.0,-100.0,8.5
Need for Speed Underground 2,True,1,True,True,Racing / Driving,True,EA,True,65,0.11,22.95,Nintendo DS,T,True,2005,20.0,21.5,20.0,20.0
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,66,0.11,19.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
The Lord of the Rings: Tactics,True,1,True,True,Role-Playing (RPG),True,EA,True,64,0.11,19.95,Sony PSP,M,True,2005,5.0,-100.0,-100.0,5.0
Rengoku: The Tower of Purgatory,True,1,True,True,Action,True,Konami,True,43,0.11,12.95,Sony PSP,E,True,2005,4.72,-100.0,-100.0,4.72
Gretzky NHL,True,2,True,True,Sports,True,Sony,True,61,0.1,9.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Ridge Racer 6,True,2,True,True,Racing / Driving,True,"EA,Namco",True,74,0.1,14.95,X360,E,True,2005,8.0,-100.0,-100.0,8.0
Ford Racing 3,True,1,True,True,Action,True,Unknown,True,49,0.1,14.95,Nintendo DS,E,True,2005,8.02,8.47,5.67,3.33
NHL 2K6 ,True,1,True,True,Sports,True,2K,True,75,0.1,5.95,X360,T,True,2005,2.5,2.5,-100.0,-100.0
Bust-a-Move DS,True,1,True,True,Action,True,Unknown,True,75,0.09,17.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
Battles of Prince of Persia,True,1,True,True,Strategy,True,Ubisoft,True,64,0.09,14.95,Nintendo DS,E,True,2005,8.0,-100.0,-100.0,8.0
GripShift,True,1,True,True,Racing / Driving,True,Ubisoft,True,70,0.09,9.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,34,0.08,14.95,Nintendo DS,T,True,2005,4.58,-100.0,7.5,4.17
Scooby-Doo! Unmasked,True,1,True,True,Action,True,THQ,True,60,0.08,17.95,Nintendo DS,E,True,2005,8.0,-100.0,-100.0,8.0
Viewtiful Joe: Double Trouble!,True,1,True,True,Action,True,Capcom,True,73,0.08,14.95,Nintendo DS,E,True,2005,5.0,-100.0,-100.0,5.0
The Legend of Heroes: A Tear of Vermillion,True,1,True,True,Role-Playing (RPG),True,Unknown,True,68,0.08,17.95,Sony PSP,T,True,2005,29.83,38.5,27.88,25.0
PQ: Practical Intelligence Quotient,True,1,True,True,Strategy,True,Unknown,True,69,0.08,14.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Lost in Blue,True,1,True,True,Role-Playing (RPG),True,Konami,True,69,0.07,24.95,Nintendo DS,T,True,2005,25.0,22.25,25.12,-100.0
Ghost in the Shell: Stand Alone Complex,True,1,True,True,Action,True,Sony,True,61,0.07,14.95,Sony PSP,E,True,2005,-100.0,-100.0,-100.0,-100.0
Dig Dug: Digging Strike,True,1,True,True,Action,True,Namco,True,65,0.06,16.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,69,0.06,17.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
Mega Man Battle Network 5: Double Team DS,True,1,True,True,Action,True,Capcom,True,68,0.06,17.95,Nintendo DS,E,True,2005,35.0,42.0,34.0,27.48
Nanostray,True,1,True,True,Action,True,THQ,True,71,0.06,17.95,Nintendo DS,E,True,2005,1.2,-100.0,-100.0,1.2
Sega Casino,True,1,True,True,Simulation,True,Sega,True,61,0.06,17.95,Nintendo DS,M,True,2005,-100.0,-100.0,-100.0,-100.0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,True,1,True,True,Action,True,Konami,True,58,0.06,17.95,Nintendo DS,T,True,2005,4.5,-100.0,-100.0,4.5
Pac-Man World 3,True,1,True,True,Action,True,"EA,Namco",True,61,0.06,24.95,Sony PSP,E,True,2005,8.0,-100.0,-100.0,8.0
Tokobot,True,1,True,True,Strategy,True,Unknown,True,72,0.06,17.95,Sony PSP,T,True,2005,8.68,-100.0,12.0,8.37
Fullmetal Alchemist: Dual Sympathy,True,1,True,True,Action,True,Unknown,True,58,0.05,14.95,Nintendo DS,M,True,2005,14.0,-100.0,-100.0,14.0
Exit,True,1,True,True,Action,True,Ubisoft,True,77,0.05,9.95,Sony PSP,E,True,2005,6.0,-100.0,-100.0,6.0
Bubble Bobble Revolution,True,1,True,True,Action,True,Unknown,True,38,0.04,17.95,Nintendo DS,M,True,2005,-100.0,-100.0,-100.0,-100.0
The Rub Rabbits!,True,2,True,True,Action,True,Sega,True,68,0.02,17.95,Nintendo DS,M,True,2005,2.33,-100.0,3.67,2.17
Electroplankton,True,1,True,True,Simulation,True,Nintendo,True,71,0.01,29.95,Nintendo DS,T,True,2005,0.5,0.5,-100.0,0.5
LifeSigns: Surgical Unit,True,1,True,True,Simulation,True,Unknown,True,61,0.01,22.95,Nintendo DS,T,True,2005,30.52,30.52,-100.0,-100.0
Space Invaders Revolution,True,1,True,True,Action,True,Unknown,True,49,0.01,13.95,Nintendo DS,E,True,2005,-100.0,-100.0,-100.0,-100.0
Wii Play,True,2,True,True,Action,True,Nintendo,True,58,14.66,14.95,Nintendo Wii,T,True,2006,4.0,-100.0,11.42,4.0
New Super Mario Bros.,True,1,True,True,Action,True,Nintendo,True,89,10.03,27.95,Nintendo DS,T,True,2006,9.0,15.5,10.0,7.0
Pokmon Diamond,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,27.95,Nintendo DS,E,True,2006,58.0,220.0,80.0,41.92
Pokmon Pearl,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,26.95,Nintendo DS,E,True,2006,58.0,220.0,80.0,41.92
Gears of War,True,2,True,True,Action,True,Microsoft,True,94,3.7,19.95,X360,M,True,2006,9.43,15.0,11.0,9.0
The Legend of Zelda: Twilight Princess,True,1,True,True,Action,True,Nintendo,True,95,3.33,39.95,Nintendo Wii,M,True,2006,43.0,54.53,46.23,37.0
Cooking Mama,True,1,True,True,Simulation,True,Unknown,True,67,2.9,17.95,Nintendo DS,M,True,2006,7.0,-100.0,-100.0,7.0
Marvel Ultimate Alliance,True,4,True,True,Action,True,Activision,True,82,2.42,14.95,X360,T,True,2006,14.0,24.82,17.0,12.37
Daxter,True,1,True,True,Action,True,Sony,True,85,2.38,14.95,Sony PSP,T,True,2006,8.0,14.5,8.35,7.57
The Elder Scrolls IV: Oblivion,True,1,True,True,Action,True,2K,True,94,2.12,19.95,X360,E,True,2006,80.0,185.0,86.95,24.0
Madden NFL 07,True,2,True,True,Sports,True,EA,True,80,1.77,4.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Grand Theft Auto: Vice City Stories,True,1,True,True,Action,True,Rockstar,True,86,1.72,17.95,Sony PSP,E,True,2006,17.23,46.25,25.0,16.3
Resistance: Fall of Man,True,4,True,True,Action,True,Sony,True,86,1.61,19.95,PlayStation 3,E,True,2006,12.0,17.5,13.0,12.0
MotorStorm,True,1,True,True,Action,True,Sony,True,82,1.58,16.95,PlayStation 3,T,True,2006,15.0,15.0,22.0,15.0
Call of Duty 3,True,2,True,True,Action,True,Activision,True,82,1.51,16.95,X360,T,True,2006,8.45,10.0,11.0,8.0
Yoshi's Island DS,True,1,True,True,Action,True,Nintendo,True,81,1.49,27.95,Nintendo DS,E,True,2006,9.58,-100.0,12.0,9.17
Tom Clancy's Ghost Recon: Advanced Warfighter,True,4,True,True,Action,True,Ubisoft,True,90,1.46,14.95,X360,E,True,2006,8.75,-100.0,-100.0,8.75
Fight Night Round 3,True,2,True,True,Action,True,EA,True,86,1.4,14.95,X360,E,True,2006,11.0,10.5,12.5,11.0
Pokmon Ranger,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,69,1.36,19.95,Nintendo DS,E,True,2006,13.42,34.67,14.83,12.57
Rayman Raving Rabbids,True,4,True,True,Action,True,Ubisoft,True,76,1.26,17.95,Nintendo Wii,T,True,2006,6.18,8.1,8.13,6.0
Saints Row,True,1,True,True,Action,True,THQ,True,81,1.23,14.95,X360,T,True,2006,20.0,47.82,22.37,17.0
Tom Clancy's Rainbow Six: Vegas,True,2,True,True,Action,True,Ubisoft,True,88,1.19,14.95,X360,E,True,2006,9.0,12.0,12.65,9.0
Dead Rising,True,1,True,True,Action,True,Capcom,True,85,1.16,16.95,X360,E,True,2006,15.0,45.0,19.5,10.53
Call of Duty 3,True,1,True,True,Action,True,Activision,True,69,1.15,19.95,Nintendo Wii,E,True,2006,8.45,10.0,11.0,8.0
Lost Planet: Extreme Condition,True,1,True,True,Action,True,Capcom,True,79,1.15,12.95,X360,M,True,2006,9.0,9.7,9.4,8.48
Mario Hoops 3 on 3,True,1,True,True,Sports,True,Nintendo,True,69,1.03,22.95,Nintendo DS,M,True,2006,4.25,-100.0,5.0,3.5
LEGO Star Wars II: The Original Trilogy,True,1,True,True,Action,True,EA,True,47,1.02,17.95,Nintendo DS,E,True,2006,15.0,26.62,15.0,12.0
